
     Time (days)       Flux       Uncertainty
     23.30619532     64179.698      179.658
     23.30688977     64163.386      179.576
     23.30758421     64208.520      179.615
     23.30827866     64096.369      179.604
     23.30897310     64445.061      179.722
     23.30966755     63981.435      179.545
     23.31036199     64308.406      179.561
     23.31105644     63917.565      179.606
     23.31175088     64075.883      179.617
     23.31244532     64029.966      179.631
     23.31313977     63939.198      179.602
     23.31383421     64014.850      179.592
     23.31452866     64144.606      179.528
     23.31522310     64082.883      179.632
     23.31591755     64227.834      179.601
     23.31661199     64312.451      179.539
     23.31730644     64019.587      179.628
     23.31800088     64044.704      179.610
     23.31869532     63964.802      179.615
     23.31938977     64049.871      179.659
     23.32008421     64172.986      179.573
     23.32077866     64173.873      179.688
     23.32147310     64377.286      179.574
     23.32216755     64177.513      179.644
     23.32286199     64062.544      179.543
     23.32355644     64211.355      179.619
     23.32425088     64023.306      179.668
     23.32494532     64129.289      179.659
     23.32563977     63955.143      179.624
     23.32633421     64026.406      179.637
     23.32702866     64449.915      179.714
     23.32772310     64392.718      179.843
     23.32841755     64194.424      179.972
     23.32911199     64634.193      180.104
     23.32980644     64569.883      180.143
     23.33050088     64741.813      180.243
     23.33119532     64511.149      180.442
     23.33188977     64708.440      180.476
     23.33258421     64670.171      180.595
     23.33327866     64827.603      180.627
     23.33397310     64202.802      180.838
     23.33466755     65018.199      180.867
     23.33536199     64865.321      180.979
     23.33605644     65452.451      181.035
     23.33675088     65108.401      181.068
     23.33744532     65253.893      181.246
     23.33813977     65325.037      181.186
     23.33883421     65351.642      181.162
     23.33952866     65390.784      181.195
     23.34022310     65128.303      181.221
     23.34091755     65227.032      181.202
     23.34161199     65085.659      181.252
     23.34230644     65224.456      181.252
     23.34300088     65448.206      181.217
     23.34369532     65423.755      181.185
     23.34438977     65282.260      181.204
     23.34508421     65449.789      181.272
     23.34577866     65193.741      181.263
     23.34647310     65467.383      181.206
     23.34716755     65221.231      181.232
     23.34786199     65286.669      181.142
     23.34855644     65511.928      181.341
     23.34925088     65218.274      181.245
     23.34994532     65641.951      181.217
     23.35063977     65217.989      181.242
     23.35133421     65177.937      181.296
     23.35202866     65184.130      181.159
     23.35272310     65283.673      181.206
     23.35341755     64926.981      181.181
     23.35411199     65232.541      181.287
     23.35480644     64946.799      181.250
     23.35550088     65530.593      181.217
     23.35619532     65316.340      181.090
     23.35688977     65247.054      181.217
     23.35758421     65282.902      181.234
     23.35827866     65383.448      181.172
     23.35897310     64980.463      181.201
     23.35966755     65051.995      181.229
     23.36036199     65095.904      181.206
     23.36105644     65582.891      181.222
     23.36175088     65497.325      181.300
     23.36244532     65272.282      181.330
     23.36313977     65197.972      181.258
     23.36383421     65449.551      181.222
     23.36452866     65130.865      181.272
     23.36522310     65352.852      181.301
     23.36591755     65254.257      181.281
     23.36661199     65094.369      181.213
     23.36730644     65389.366      181.264
     23.36800088     65255.941      181.262
     23.36869532     65316.914      181.172
     23.36938977     65471.931      181.278
     23.37008421     65536.751      181.207
     23.37077866     65522.541      181.387
     23.37147310     65693.404      181.194
     23.37216755     65375.872      181.235
     23.37286199     65635.006      181.184
     23.37355644     65117.833      181.156
     23.37425088     65054.545      181.103
     23.37494532     65059.402      181.261
     23.37563977     65198.121      181.179
     23.37633421     65246.551      181.176
     23.37702866     65641.528      181.221
     23.37772310     65259.353      181.180
     23.37841755     65204.599      181.217
     23.37911199     65238.242      181.217
     23.37980644     65480.034      181.243
     23.38050088     65405.110      181.282
     23.38119532     65410.500      181.247
     23.38188977     65263.056      181.209
     23.38258421     65324.645      181.233
     23.38327866     65420.352      181.206
     23.38397310     65070.833      181.262
     23.38466755     65435.717      181.236
     23.38536199     65497.980      181.201
     23.38605644     65401.664      181.202
     23.38675088     65358.384      181.228
     23.38744532     65349.654      181.269
     23.38813977     65474.650      181.195
     23.38883421     65528.743      181.228
     23.38952866     65205.365      181.255
     23.39022310     65099.638      181.255
     23.39091755     65064.380      181.268
     23.39161199     65358.284      181.216
     23.39230644     65485.584      181.215
     23.39300088     65210.506      181.271
     23.39369532     65380.643      181.261
     23.39438977     65429.118      181.212
     23.39508421     64994.960      181.289
     23.39577866     65378.772      181.241
     23.39647310     64906.661      181.298
     23.39716755     64920.861      181.281
     23.39786199     65078.419      181.266
     23.39855644     65470.565      181.261
     23.39925088     64946.994      181.203
     23.39994532     65737.991      181.237
     23.40063977     65384.546      181.239
     23.40133421     65330.390      181.246
     23.40202866     65179.732      181.227
     23.40272310     64874.168      181.243
     23.40341755     65264.667      181.203
     23.40411199     65393.436      181.282
     23.40480644     65223.937      181.253
     23.40550088     65342.108      181.290
     23.40619532     65073.665      181.236
     23.40688977     65540.663      181.157
     23.40758421     65633.287      181.297
     23.40827866     65511.669      181.254
     23.40897310     65415.260      181.340
     23.40966755     65165.387      181.258
     23.41036199     65575.422      181.260
     23.41105644     65413.829      181.182
     23.41175088     65093.491      181.268
     23.41244532     65479.289      181.268
     23.41313977     65529.006      181.276
     23.41383421     65316.520      181.306
     23.41452866     65235.581      181.250
     23.41522310     65340.683      181.206
     23.41591755     65438.147      181.273
     23.41661199     65501.046      181.235
     23.41730644     65096.611      181.276
     23.41800088     65524.048      181.212
     23.41869532     65285.366      181.191
     23.41938977     65401.499      181.284
     23.42008421     65442.050      181.219
     23.42077866     65141.866      181.268
     23.42147310     65700.683      181.263
     23.42216755     65184.186      181.281
     23.42286199     65182.049      181.300
     23.42355644     65332.736      181.220
     23.42425088     65116.373      181.310
     23.42494532     65548.193      181.228
     23.42563977     65595.004      181.220
     23.42633421     65330.777      181.206
     23.42702866     65286.687      181.334
     23.42772310     65158.252      181.225
     23.42841755     65010.462      181.222
     23.42911199     65042.878      181.274
     23.42980644     65575.171      181.244
     23.43050088     65056.974      181.326
     23.43119532     65342.499      181.228
     23.43188977     65302.882      181.297
     23.43258421     65389.890      181.239
     23.43327866     65504.879      181.312
     23.43397310     65191.795      181.295
     23.43466755     65217.235      181.240
     23.43536199     65321.351      181.176
