
     Time (days)       Flux       Uncertainty

     23.18536199     64792.314      181.109
     23.18605644     65144.757      181.128
     23.18675088     65594.357      181.117
     23.18744532     65179.433      181.194
     23.18813977     65123.235      181.158
     23.18883421     65243.475      181.151
     23.18952866     65526.780      181.217
     23.19022310     65268.432      181.076
     23.19091755     65102.191      181.147
     23.19161199     65209.397      181.073
     23.19230644     64989.851      181.078
     23.19300088     65264.665      181.136
     23.19369532     65237.431      181.151
     23.19438977     65128.686      181.165
     23.19508421     65388.420      181.203
     23.19577866     65406.164      181.110
     23.19647310     65195.938      181.109
     23.19716755     65202.784      181.258
     23.19786199     65458.693      181.177
     23.19855644     64994.940      181.185
     23.19925088     64912.227      181.174
     23.19994532     65112.759      181.185
     23.20063977     65477.035      181.126
     23.20133421     65107.484      181.130
     23.20202866     65357.079      181.126
     23.20272310     65312.643      181.173
     23.20341755     65045.482      181.246
     23.20411199     65518.420      181.217
     23.20480644     65204.912      181.153
     23.20550088     65070.742      181.150
     23.20619532     65417.348      181.229
     23.20688977     65453.379      181.096
     23.20758421     65197.590      181.132
     23.20827866     65051.107      181.170
     23.20897310     65034.644      181.099
     23.20966755     64916.186      181.187
     23.21036199     65236.845      181.090
     23.21105644     65038.500      181.185
     23.21175088     65359.132      181.253
     23.21244532     65309.755      181.155
     23.21313977     65172.115      181.188
     23.21383421     65139.255      181.112
     23.21452866     65093.873      181.179
     23.21522310     65099.069      181.268
     23.21591755     64738.177      181.217
     23.21661199     65250.302      181.205
     23.21730644     65174.892      181.166
     23.21800088     65091.151      181.191
     23.21869532     65512.745      181.125
     23.21938977     65583.573      181.202
     23.22008421     65232.209      181.196
     23.22077866     65396.591      181.155
     23.22147310     65190.398      181.112
     23.22216755     65331.464      181.178
     23.22286199     65050.261      181.143
     23.22355644     65210.533      181.128
     23.22425088     64872.089      180.985
     23.22494532     65232.618      181.038
     23.22563977     64957.296      180.879
     23.22633421     65051.609      180.730
     23.22702866     64819.621      180.689
     23.22772310     64574.702      180.548
     23.22841755     65109.198      180.503
     23.22911199     64902.187      180.411
     23.22980644     64678.168      180.299
     23.23050088     64598.550      180.192
     23.23119532     64153.208      179.996
     23.23188977     64570.838      179.980
     23.23258421     64449.687      179.936
     23.23327866     64296.467      179.784
     23.23397310     64366.848      179.752
     23.23466755     63994.754      179.598
     23.23536199     64187.526      179.639
     23.23605644     64087.673      179.603
     23.23675088     64254.982      179.606
     23.23744532     64197.601      179.575
     23.23813977     64139.814      179.569
     23.23883421     63939.452      179.618
     23.23952866     64102.850      179.516
     23.24022310     64208.546      179.636
     23.24091755     63965.588      179.553
     23.24161199     64239.622      179.554
     23.24230644     64157.429      179.545
     23.24300088     64167.846      179.558
     23.24369532     64061.744      179.579
     23.24438977     64049.182      179.523
     23.24508421     63893.232      179.557
     23.24577866     64006.838      179.618
     23.24647310     64002.862      179.574
     23.24716755     63797.196      179.514
     23.24786199     64369.454      179.543
     23.24855644     64033.627      179.642
     23.24925088     64251.403      179.592
     23.24994532     64061.324      179.553
     23.25063977     63963.824      179.551
     23.25133421     64226.346      179.566
     23.25202866     64222.608      179.523
     23.25272310     64123.675      179.602
     23.25341755     64117.810      179.543
     23.25411199     64086.812      179.502
     23.25480644     64185.703      179.564
     23.25550088     64310.289      179.557
     23.25619532     64359.258      179.667
     23.25688977     63997.935      179.571
     23.25758421     64312.302      179.600
     23.25827866     64331.837      179.529
     23.25897310     64148.044      179.536
     23.25966755     64030.033      179.580
     23.26036199     64306.798      179.664
     23.26105644     63881.753      179.564
     23.26175088     64035.245      179.495
     23.26244532     63936.644      179.584
     23.26313977     63885.624      179.565
     23.26383421     64085.820      179.532
     23.26452866     64449.545      179.550
     23.26522310     64177.779      179.604
     23.26591755     64167.072      179.538
     23.26661199     64181.080      179.546
     23.26730644     64075.067      179.559
     23.26800088     63859.560      179.621
     23.26869532     64175.991      179.524
     23.26938977     63917.424      179.593
     23.27008421     63811.466      179.614
     23.27077866     64039.132      179.574
     23.27147310     64047.270      179.461
     23.27216755     63901.975      179.611
     23.27286199     63860.843      179.592
     23.27355644     64224.099      179.501
     23.27425088     64252.296      179.496
     23.27494532     63874.057      179.617
     23.27563977     64618.188      179.603
     23.27633421     63884.306      179.602
     23.27702866     64135.218      179.603
     23.27772310     63936.935      179.699
     23.27841755     64125.877      179.634
     23.27911199     63951.201      179.566
     23.27980644     64301.852      179.527
     23.28050088     64309.319      179.605
     23.28119532     64071.456      179.625
     23.28188977     64047.614      179.563
     23.28258421     64100.544      179.640
     23.28327866     64187.518      179.603
     23.28397310     63885.155      179.565
     23.28466755     64372.426      179.583
     23.28536199     64149.033      179.663
     23.28605644     64111.500      179.512
     23.28675088     64240.447      179.660
     23.28744532     64023.731      179.566
     23.28813977     64033.229      179.553
     23.28883421     64018.638      179.572
     23.28952866     64319.973      179.593
     23.29022310     64140.950      179.514
     23.29091755     63921.238      179.559
     23.29161199     63944.358      179.630
     23.29230644     64281.250      179.619
     23.29300088     64353.994      179.604
     23.29369532     64071.825      179.486
     23.29438977     63859.999      179.663
     23.29508421     63963.152      179.647
     23.29577866     64358.300      179.554
     23.29647310     63747.978      179.524
     23.29716755     64223.836      179.577
     23.29786199     64097.317      179.606
     23.29855644     64028.651      179.615
     23.29925088     64117.422      179.713
     23.29994532     64553.728      179.659
     23.30063977     64250.121      179.641
     23.30133421     64304.124      179.539
     23.30202866     64226.691      179.573
     23.30272310     64000.131      179.617
     23.30341755     64096.695      179.621
     23.30411199     64091.119      179.606
     23.30480644     64276.336      179.565
     23.30550088     63939.860      179.629
