
     Time (days)       Flux       Uncertainty
      4.84672700     45820.027      151.370
      4.84742144     45952.465      151.379
      4.84811589     45731.426      151.504
      4.84881033     45481.809      151.428
      4.84950478     45522.955      151.058
      4.85019922     45764.170      151.402
      4.85089367     45775.991      151.235
      4.85158811     45658.038      151.192
      4.85228255     45530.781      151.742
      4.85297700     45491.953      151.235
      4.85367144     45472.208      151.259
      4.85436589     45380.667      151.316
      4.85506033     45601.896      151.166
      4.85575478     45612.287      151.461
      4.85644922     45482.322      151.285
      4.85714367     45675.221      151.404
      4.85783811     45536.384      151.604
      4.85853255     45413.257      151.010
      4.85922700     45237.512      151.534
      4.85992144     45362.113      150.643
      4.86061589     45313.797      150.652
      4.86131033     45268.074      151.054
      4.86200478     45106.734      150.992
      4.86269922     45196.310      151.040
      4.86339367     44891.739      150.947
      4.86408811     44728.897      150.505
      4.86478255     45074.499      150.262
      4.86547700     44937.912      150.788
      4.86617144     44845.177      150.340
      4.86686589     45021.974      150.175
      4.86756033     44931.140      149.978
      4.86825478     44847.747      150.220
      4.86894922     44851.620      150.549
      4.86964367     44850.225      149.936
      4.87033811     44750.967      150.054
      4.87103255     44956.844      150.244
      4.87172700     44876.200      149.904
      4.87242144     44648.855      150.402
      4.87311589     45134.328      149.861
      4.87381033     44917.242      150.151
      4.87450478     44784.255      149.884
      4.87519922     44589.450      150.038
      4.87589367     44696.784      150.527
      4.87658811     45154.981      150.209
      4.87728255     44855.970      150.480
      4.87797700     44981.779      149.912
      4.87867144     44902.005      150.249
      4.87936589     44981.984      150.255
      4.88006033     44913.578      150.137
      4.88075478     44875.261      150.029
      4.88144922     44708.703      150.619
      4.88214367     44619.508      150.067
      4.88283811     44667.407      150.010
      4.88353255     44768.023      149.854
      4.88422700     44841.224      150.153
      4.88492144     44845.385      149.787
      4.88561589     44642.580      150.391
      4.88631033     44770.537      150.016
      4.88700478     44690.759      150.160
      4.88769922     44754.237      150.155
      4.88839367     44596.867      150.383
      4.88908811     44662.343      150.231
      4.88978255     44828.865      150.193
      4.89047700     44808.362      150.315
      4.89117144     44680.249      150.438
      4.89186589     44966.989      149.965
      4.89256033     44757.435      150.033
      4.89325478     44589.137      150.107
      4.89394922     44836.463      150.387
      4.89464367     44867.296      149.872
      4.89533811     45062.115      150.339
      4.89603255     44649.650      149.794
      4.89672700     44576.015      150.315
      4.89742144     44709.539      150.172
      4.89811589     44703.896      149.945
      4.89881033     44971.192      150.176
      4.89950478     45042.836      149.923
      4.90019922     44634.230      149.938
      4.90089367     44856.950      150.198
      4.90158811     44813.896      150.025
      4.90228255     44881.649      150.316
      4.90297700     44839.427      150.125
      4.90367144     44603.350      149.725
      4.90436589     44900.660      150.059
      4.90506033     44983.382      149.961
      4.90575478     44925.658      149.633
      4.90644922     44909.001      150.376
      4.90714367     44930.034      150.293
      4.90783811     44599.708      150.027
      4.90853255     44522.268      150.266
      4.90922700     44750.679      149.952
      4.90992144     44931.290      149.767
      4.91061589     44967.249      150.646
      4.91131033     44821.549      149.951
      4.91200478     44931.317      150.046
      4.91269922     44973.094      150.141
      4.91339367     44730.443      149.435
      4.91408811     44760.677      149.926
      4.91478255     44475.672      149.793
      4.91547700     44872.691      149.966
      4.91617144     44959.103      149.901
      4.91686589     44888.391      150.272
      4.91756033     44807.205      150.160
      4.91825478     44747.984      150.314
      4.91894922     44888.920      150.485
      4.91964367     44651.017      149.829
      4.92033811     44405.142      149.915
      4.92103255     44901.217      149.712
      4.92172700     44895.347      149.660
      4.92242144     44805.241      150.010
      4.92311589     44759.203      149.899
      4.92381033     44737.922      150.179
      4.92450478     44900.755      150.055
      4.92519922     44862.062      149.972
      4.92589367     44609.682      150.070
      4.92658811     44918.146      150.005
      4.92728255     44763.978      150.095
      4.92797700     44804.252      150.545
      4.92867144     45011.758      150.340
      4.92936589     44989.150      149.882
      4.93006033     44804.824      150.090
      4.93075478     44726.164      150.190
      4.93144922     44897.373      150.015
      4.93214367     45114.442      150.478
      4.93283811     44833.034      150.098
      4.93353255     44383.400      150.009
      4.93422700     44332.562      149.884
      4.93492144     44863.402      149.991
      4.93561589     44736.255      149.635
      4.93631033     45107.848      150.103
      4.93700478     44760.794      149.909
      4.93769922     44798.183      149.984
      4.93839367     44590.871      150.074
      4.93908811     44601.937      150.142
      4.93978255     44612.951      150.377
      4.94047700     44842.113      150.653
      4.94117144     45015.190      149.716
      4.94186589     44963.338      150.256
      4.94256033     44915.796      150.214
      4.94325478     44737.942      149.750
      4.94394922     44547.591      150.173
      4.94464367     45009.904      149.984
      4.94533811     44760.921      150.253
      4.94603255     44621.257      150.428
      4.94672700     44617.658      150.157
      4.94742144     44774.278      150.093
      4.94811589     44961.213      150.216
      4.94881033     44612.209      149.720
      4.94950478     44794.496      150.031
      4.95019922     44705.400      149.625
      4.95089367     44538.204      150.136
      4.95158811     45020.808      150.077
      4.95228255     44766.967      150.208
      4.95297700     44771.715      149.732
      4.95367144     44718.886      150.054
      4.95436589     44771.891      150.053
      4.95506033     44715.515      149.837
      4.95575478     45013.398      149.662
      4.95644922     45036.799      150.177
      4.95714367     44965.473      150.293
      4.95783811     45105.873      150.003
      4.95853255     44643.030      149.864
      4.95922700     44711.541      150.065
      4.95992144     44940.811      149.994
      4.96061589     45000.892      150.181
      4.96131033     45042.304      150.321
      4.96200478     45153.978      150.694
      4.96269922     45196.063      150.275
      4.96339367     45141.146      150.814
      4.96408811     45217.612      151.015
      4.96478255     45182.355      150.641
      4.96547700     45229.416      151.264
      4.96617144     45381.665      151.099
      4.96686589     45227.968      150.914
      4.96756033     45260.788      151.336
      4.96825478     45319.930      151.095
      4.96894922     45604.161      151.448
      4.96964367     45589.301      151.315
      4.97033811     45533.260      151.952
      4.97103255     45394.061      151.262
      4.97172700     45461.903      151.566
      4.97242144     45437.543      151.604
      4.97311589     45443.345      151.792
      4.97381033     45541.711      150.849
      4.97450478     45679.737      151.467
      4.97519922     45679.020      151.739
      4.97589367     45801.967      151.883
      4.97658811     45461.570      151.490
      4.97728255     45473.399      151.539
      4.97797700     45651.818      151.072
      4.97867144     45715.715      151.046
      4.97936589     45599.833      151.689
      4.98006033     45595.408      151.196
      4.98075478     45527.238      151.127
      4.98144922     45608.959      151.382
      4.98214367     45394.022      151.843
      4.98283811     45766.565      151.074
      4.98353255     45365.531      151.298
      4.98422700     45610.768      151.665
      4.98492144     45611.122      151.293
      4.98561589     45362.660      151.538
      4.98631033     45559.172      151.655
      4.98700478     45684.155      151.382
      4.98769922     45616.560      151.106
      4.98839367     45599.082      151.445
      4.98908811     45382.878      151.857
      4.98978255     45645.985      151.204
      4.99047700     45506.794      151.277
      4.99117144     45914.862      151.341
      4.99186589     45902.432      151.477
      4.99256033     45592.700      151.596
      4.99325478     45534.567      151.685
      4.99394922     45714.456      151.298
      4.99464367     45322.889      151.312
      4.99533811     45229.551      151.558
      4.99603255     45192.133      151.723
      4.99672700     45765.074      151.438
      4.99742144     45759.924      151.567
      4.99811589     45462.370      151.512
      4.99881033     45670.294      151.355
      4.99950478     45537.798      151.673
      5.00019922     45538.971      151.002
      5.00089367     45409.668      151.567
      5.00158811     45606.790      151.506
      5.00228255     46020.068      151.380
      5.00297700     45603.102      151.212
      5.00367144     45671.014      151.482
      5.00436589     45737.845      151.762
      5.00506033     45626.017      151.367
      5.00575478     45481.072      151.393
      5.00644922     45698.430      151.771
      5.00714367     45828.909      151.376
      5.00783811     45396.260      151.893
      5.00853255     45446.424      151.429
      5.00922700     45581.838      151.607
      5.00992144     45266.443      151.555
      5.01061589     45692.694      151.734
      5.01131033     45369.747      151.384
      5.01200478     45625.850      151.116
      5.01269922     45555.077      151.266
      5.01339367     45663.545      151.146
      5.01408811     45526.223      151.354
      5.01478255     45482.287      151.101
      5.01547700     45631.378      151.153
      5.01617144     45743.644      151.743
      5.01686589     45821.600      151.430
      5.01756033     45276.987      151.226
      5.01825478     45713.835      151.054
      5.01894922     45498.484      151.911
      5.01964367     45715.213      151.654
      5.02033811     45610.065      151.160
      5.02103255     45736.220      150.986
      5.02172700     45602.460      150.919
      5.02242144     45522.470      151.332
      5.02311589     45707.271      151.042
      5.02381033     45468.819      151.368
      5.02450478     45379.769      151.714
      5.02519922     45514.851      151.722
      5.02589367     45310.602      151.473
      5.02658811     45767.088      151.676
      5.02728255     45460.603      151.658
      5.02797700     45657.196      151.716
      5.02867144     45619.303      151.432
      5.02936589     45564.281      151.483
      5.03006033     45766.338      151.292
      5.03075478     45648.239      151.467
      5.03144922     45667.794      151.296
      5.03214367     45332.684      151.436
      5.03283811     45462.271      151.231
      5.03353255     45524.442      151.098
      5.03422700     45499.020      151.358
      5.03492144     45265.317      151.270
      5.03561589     45557.596      151.587
      5.03631033     45356.558      151.350
      5.03700478     45420.139      151.479
      5.03769922     45401.777      151.440
      5.03839367     45518.846      151.712
