
     Time (days)       Flux       Uncertainty

      4.78839367     45724.364      151.340
      4.78908811     45701.312      151.570
      4.78978255     45607.933      151.088
      4.79047700     45586.861      151.515
      4.79117144     45705.542      151.213
      4.79186589     45928.779      151.421
      4.79256033     45698.623      151.927
      4.79325478     45703.107      151.952
      4.79394922     45649.305      151.159
      4.79464367     45514.184      151.295
      4.79533811     45477.083      151.559
      4.79603255     45442.848      151.597
      4.79672700     45606.627      151.664
      4.79742144     45746.904      151.230
      4.79811589     45515.744      151.495
      4.79881033     45390.126      151.269
      4.79950478     45805.626      151.564
      4.80019922     45702.172      151.463
      4.80089367     45640.611      151.527
      4.80158811     45636.602      151.507
      4.80228255     45536.588      151.502
      4.80297700     45664.161      151.339
      4.80367144     45506.271      151.605
      4.80436589     45563.161      151.585
      4.80506033     45441.791      151.974
      4.80575478     45522.473      151.563
      4.80644922     45643.887      151.091
      4.80714367     45583.726      151.880
      4.80783811     45570.090      151.284
      4.80853255     45867.889      151.400
      4.80922700     45680.464      151.626
      4.80992144     45869.412      151.497
      4.81061589     45589.821      151.690
      4.81131033     45791.823      151.461
      4.81200478     45837.872      151.389
      4.81269922     45556.937      151.580
      4.81339367     45304.353      151.483
      4.81408811     45533.215      151.166
      4.81478255     45692.700      151.798
      4.81547700     45700.492      151.591
      4.81617144     45680.535      151.618
      4.81686589     45853.934      151.477
      4.81756033     45834.293      151.358
      4.81825478     45628.396      151.332
      4.81894922     45504.638      151.711
      4.81964367     45334.397      151.169
      4.82033811     45546.375      151.423
      4.82103255     45712.617      151.898
      4.82172700     45696.462      151.650
      4.82242144     45816.239      151.026
      4.82311589     45520.307      151.833
      4.82381033     45714.407      151.537
      4.82450478     45591.211      151.463
      4.82519922     45585.242      151.351
      4.82589367     45712.951      151.343
      4.82658811     45762.199      151.233
      4.82728255     45749.667      151.135
      4.82797700     45669.782      151.463
      4.82867144     45694.396      151.429
      4.82936589     45672.588      151.377
      4.83006033     45297.899      151.814
      4.83075478     45657.556      151.327
      4.83144922     45518.384      151.608
      4.83214367     45451.640      151.293
      4.83283811     45586.829      151.244
      4.83353255     45533.459      151.909
      4.83422700     45856.911      151.641
      4.83492144     45536.057      151.193
      4.83561589     45164.261      151.575
      4.83631033     45727.082      151.054
      4.83700478     45629.127      151.133
      4.83769922     45697.875      151.766
      4.83839367     45629.910      151.438
      4.83908811     45684.761      151.482
      4.83978255     45425.786      151.355
      4.84047700     45624.211      151.084
      4.84117144     45700.265      151.944
      4.84186589     45584.251      151.595
      4.84256033     45632.075      151.251
      4.84325478     45472.264      151.328
      4.84394922     45474.205      151.203
      4.84464367     45911.302      151.614
      4.84533811     45620.461      151.307
      4.84603255     45458.177      151.474
