
     Time (days)       Flux       Uncertainty
     12.22268100     33967.303      130.784
     12.22337544     33796.138      130.805
     12.22406988     34013.324      130.849
     12.22476433     34011.238      130.837
     12.22545877     34083.770      130.802
     12.22615322     34131.548      130.839
     12.22684766     33809.409      130.790
     12.22754211     34000.036      130.872
     12.22823655     34210.069      130.784
     12.22893100     33908.350      130.857
     12.22962544     34088.116      130.876
     12.23031988     34081.977      130.764
     12.23101433     33930.639      130.813
     12.23170877     33964.457      130.818
     12.23240322     34159.009      130.801
     12.23309766     33919.179      130.764
     12.23379211     34013.061      130.788
     12.23448655     33904.404      130.849
     12.23518100     33803.177      130.836
     12.23587544     34051.622      130.926
     12.23656988     33853.344      130.826
     12.23726433     33985.022      130.892
     12.23795877     33794.560      130.768
     12.23865322     34129.515      130.846
     12.23934766     33964.280      130.900
     12.24004211     34124.864      130.812
     12.24073655     34039.563      130.843
     12.24143100     34031.827      130.862
     12.24212544     33977.455      130.891
     12.24281988     34100.264      130.833
     12.24351433     33911.616      130.820
     12.24420877     33971.470      130.844
     12.24490322     33755.423      130.838
     12.24559766     33942.603      130.831
     12.24629211     34227.410      130.823
     12.24698655     34229.775      130.860
     12.24768100     34170.635      130.859
     12.24837544     34010.402      130.810
     12.24906988     34205.850      130.825
     12.24976433     34180.478      130.918
     12.25045877     33754.407      130.851
     12.25115322     34092.027      130.847
     12.25184766     34021.448      130.811
     12.25254211     33977.851      130.855
     12.25323655     34075.276      130.817
     12.25393100     34030.057      130.886
     12.25462544     34021.603      130.882
     12.25531988     34252.592      130.818
     12.25601433     33898.119      130.842
     12.25670877     34060.896      130.848
     12.25740322     34052.107      130.845
     12.25809766     33978.357      130.831
     12.25879211     34172.162      130.886
     12.25948655     34160.261      130.829
     12.26018100     33951.393      130.846
     12.26087544     34075.615      130.861
     12.26156988     33796.563      130.896
     12.26226433     33994.023      130.821
     12.26295877     34000.769      130.872
     12.26365322     34211.762      130.864
     12.26434766     34231.220      130.815
     12.26504211     34179.768      130.845
     12.26573655     34016.608      130.885
     12.26643100     34013.132      130.805
     12.26712544     33823.791      130.840
     12.26781988     34403.837      130.923
     12.26851433     34183.941      130.845
     12.26920877     34131.732      130.874
     12.26990322     34160.468      130.867
     12.27059766     33902.287      130.899
     12.27129211     34045.090      130.844
     12.27198655     33993.139      130.924
     12.27268100     33969.815      130.915
     12.27337544     34198.984      130.905
     12.27406988     33868.218      130.846
     12.27476433     34258.333      130.884
     12.27545877     34097.046      130.871
     12.27615322     34070.653      130.855
     12.27684766     34051.666      130.915
     12.27754211     33987.081      130.903
     12.27823655     34087.758      130.836
     12.27893100     33911.194      130.882
     12.27962544     33966.419      130.891
     12.28031988     33681.955      130.882
     12.28101433     34018.829      130.903
     12.28170877     33914.073      130.879
     12.28240322     33904.686      130.876
     12.28309766     34025.015      130.813
     12.28379211     34017.267      130.876
     12.28448655     34363.694      130.884
