RA ,DEC, BMAG, D
202.3375 ,-21.1792 ,15.33 ,    6.50
199.7304 ,-21.0392 ,10.52 ,    5.45
106.4375 ,-20.9917 , 0.00 ,    7.23
 11.7846 ,-20.7600 , 9.86 ,    3.65
 81.7738 ,-20.6781 ,14.60 ,    5.07
114.0942 ,-19.4944 ,18.40 ,    7.35
138.3004 ,-19.4086 ,15.40 ,   21.90
179.7421 ,-19.0300 ,14.27 ,    8.50
101.4696 ,-18.2103 ,12.93 ,   10.00
101.7371 ,-17.9414 ,16.40 ,   10.00
101.1137 ,-17.9325 ,15.17 ,    9.90
195.8200 ,-17.4231 ,13.50 ,    7.30
196.9858 ,-16.6892 ,14.79 ,    7.90
  0.4921 ,-15.4611 ,11.03 ,    0.97
 99.5004 ,-15.0228 ,13.70 ,   10.80
143.8400 ,-13.8144 ,16.60 ,    7.30
193.4896 ,-12.1086 ,14.59 ,    8.00
189.9963 ,-11.6231 , 8.98 ,    9.30
192.2817 ,-11.4114 ,12.63 ,    7.30
194.6179 ,-10.5769 ,14.70 ,    8.70
149.1567 , -9.4864 ,15.89 ,    5.18
 95.2321 , -8.4956 ,14.10 ,    8.50
151.8446 , 38.9697 ,15.61 ,   18.40
188.5025 , 39.0194 ,15.25 ,    9.20
103.9167 , 39.0950 ,16.18 ,    7.24
134.7512 , 39.2100 ,15.00 ,   15.20
 97.6200 , 39.5039 ,15.20 ,   20.00
188.0017 , 39.8319 ,14.50 ,    6.90
189.0938 , 40.0053 ,14.60 ,   22.60
 38.4292 , 40.5281 ,13.68 ,    9.80
198.2158 , 40.5431 ,14.93 ,    8.33
150.9892 , 40.7569 ,13.97 ,   16.00
350.5275 , 40.8456 ,11.61 ,    7.90
352.4946 , 40.9903 ,12.84 ,    9.70
188.7992 , 41.0608 ,16.50 ,    7.90
192.7229 , 41.1194 , 8.70 ,    4.66
190.3867 , 41.1508 ,11.31 ,    7.90
154.0650 , 41.1664 ,15.40 ,   11.12
 10.6854 , 41.2692 , 4.29 ,    0.77
190.4696 , 41.2739 ,13.03 ,    7.90
351.1767 , 41.3481 ,14.11 ,    7.90
154.5708 , 41.4244 ,10.36 ,   11.12
187.6517 , 41.6436 , 9.76 ,    5.80
187.6300 , 41.7000 ,12.32 ,    5.80
198.9554 , 42.0292 , 9.32 ,    8.99
 35.6367 , 42.3467 ,10.71 ,    9.77
188.1121 , 42.7042 ,13.13 ,   11.20
187.5992 , 42.9014 ,15.80 ,    6.56
187.1842 , 43.2242 ,13.67 ,    8.90
183.8892 , 43.4342 ,14.90 ,   18.60
186.9242 , 43.4939 ,12.95 ,    2.74
198.0496 , 44.0386 ,12.85 ,    6.61
187.0467 , 44.0944 , 9.99 ,    4.21
192.3792 , 44.3592 ,17.10 ,    7.84
107.5567 , 44.4569 ,13.48 ,    7.87
216.1813 , 44.5258 ,13.10 ,    2.74
