RA ,DEC, BMAG, D
 89.9217 , 73.4275 ,17.10 ,    4.61
172.0025 , 78.9914 ,14.27 ,    4.35
101.9408 , 80.1239 ,16.40 ,    3.39
189.9938 , 13.7814 ,16.36 ,    8.20
159.9821 , 13.9078 ,18.30 ,   10.40
162.8808 , 14.1147 ,18.00 ,   10.40
164.7171 , 14.1294 ,17.30 ,   10.40
165.1883 , 14.1722 ,18.60 ,   10.40
194.6683 , 14.2175 ,14.79 ,    2.13
182.5071 , 14.3669 ,15.35 ,    7.70
119.2575 , 14.3908 ,15.23 ,    7.73
137.2229 , 14.5819 ,17.50 ,    9.55
352.1421 , 14.7467 ,13.21 ,    0.76
185.3663 , 15.0244 ,16.88 ,    9.40
  1.6433 , 15.5108 ,18.90 ,    5.40
161.0087 , 15.5889 ,18.80 ,   10.40
179.6683 , 15.5928 ,18.20 ,    6.27
 25.9225 , 15.6897 ,16.28 ,    7.87
185.5317 , 15.7992 ,15.95 ,    8.90
 24.9233 , 15.9031 ,15.71 ,    7.38
 25.0400 , 15.9047 ,14.37 ,    9.04
 59.2525 , 16.5244 ,15.76 ,    5.83
115.6300 , 16.5611 ,15.34 ,    8.02
143.7225 , 17.0514 ,16.50 ,    0.42
 50.0988 , 17.2950 ,16.29 ,    6.49
155.4379 , 18.0881 ,17.20 ,    2.00
193.9187 , 19.2092 ,16.90 ,    5.50
138.4125 , 19.6189 ,17.40 ,    4.43
142.5538 , 19.9917 ,17.02 ,    8.90
178.6863 , 20.0556 ,15.90 ,   16.40
135.7250 , 20.0753 ,17.90 ,    8.67
139.8725 , 21.6033 ,17.30 ,    9.08
142.6662 , 21.7236 ,18.20 ,    8.90
192.9421 , 21.7353 ,16.90 ,    5.50
 15.9792 , 21.8850 ,15.00 ,    0.65
187.0225 , 22.2908 ,16.80 ,    7.43
213.9854 , 23.0553 ,14.38 ,    2.20
177.2383 , 23.8378 ,15.14 ,   13.74
200.2700 , 24.1433 ,17.10 ,    7.20
204.8308 , 24.7758 ,14.47 ,    4.27
140.7375 , 24.9467 ,17.80 ,   10.40
184.5646 , 25.5683 ,17.90 ,   17.90
 45.1638 , 25.7822 ,18.10 ,    7.80
192.9350 , 26.1106 ,16.39 ,    9.20
193.6225 , 26.3050 ,16.60 ,   15.30
190.0071 , 26.3219 ,18.30 ,    9.20
 25.5700 , 26.3678 ,16.57 ,    7.20
 26.6733 , 26.8014 ,18.22 ,    7.20
186.4267 , 26.8100 ,17.30 ,   19.50
193.5217 , 27.1486 ,14.10 ,    4.04
 26.1779 , 27.2878 ,17.47 ,    7.20
 25.2829 , 27.3239 ,17.80 ,    6.52
179.6838 , 27.5850 ,16.50 ,    5.57
 28.8358 , 27.9542 ,16.30 ,    5.47
157.9825 , 28.0258 ,16.80 ,    9.20
185.4933 , 28.2428 ,18.70 ,    6.30
186.3663 , 28.4825 ,16.50 ,    6.15
192.0954 , 51.1647 ,13.43 ,    5.80
116.7350 , 51.2961 ,16.60 ,    6.98
 16.8854 , 51.4403 ,17.10 ,    4.27
203.6779 , 51.6139 ,13.55 ,    4.51
 23.7150 , 52.0917 ,17.00 ,    3.73
184.1192 , 52.2272 ,15.95 ,    4.21
183.9446 , 52.3875 ,15.30 ,    4.59
172.4750 , 52.4039 ,16.70 ,    9.00
190.9375 , 53.9589 ,16.60 ,    7.45
202.6850 , 54.9100 ,14.12 ,    2.69
177.5267 , 55.7833 ,17.30 ,    9.00
 36.1458 , 56.0117 ,16.20 ,    3.00
179.4758 , 56.6381 ,17.10 ,    7.03
213.7892 , 57.0875 ,16.10 ,    7.20
316.4708 , 57.2053 ,18.00 ,    5.90
 36.8625 , 57.4878 ,17.80 ,    3.00
312.1004 , 58.6183 ,17.60 ,    5.89
 43.9317 , 58.8617 ,19.38 ,    3.00
 43.5354 , 59.0053 ,17.97 ,    3.00
  5.1021 , 59.2917 ,11.78 ,    0.66
 38.8983 , 59.3797 ,17.80 ,    3.00
208.4233 , 60.0511 ,16.50 ,    8.00
307.6333 , 60.3536 ,16.50 ,    5.89
311.3367 , 60.4111 ,17.00 ,    5.89
307.5638 , 60.4403 ,15.90 ,    5.89
307.8858 , 60.8133 ,16.70 ,    5.89
176.7463 , 61.3350 ,16.30 ,    2.73
 68.0012 , 63.6139 ,15.22 ,    3.01
162.4021 , 65.5306 ,15.15 ,    7.45
183.5308 , 66.0922 ,14.60 ,    5.42
128.5271 , 66.1792 ,14.55 ,    3.56
 73.2788 , 67.0992 ,16.71 ,    3.34
235.4492 , 67.2542 ,15.40 ,    7.30
 56.3025 , 67.8639 ,15.70 ,    3.16
149.8879 , 68.6569 ,18.00 ,    3.60
150.1683 , 68.6603 ,19.80 ,    3.60
150.9250 , 68.6933 ,16.80 ,    3.82
149.3383 , 68.7153 ,19.80 ,    3.60
148.4521 , 68.9692 ,18.78 ,    4.02
 31.5329 , 69.0100 ,15.29 ,    3.30
149.3850 , 69.0431 ,14.53 ,    3.61
112.2275 , 69.2053 ,11.68 ,    3.19
149.3708 , 69.2722 ,16.80 ,    3.87
163.2379 , 69.5458 ,17.09 ,    3.70
129.2625 , 69.7753 ,14.95 ,    3.21
149.1904 , 28.8250 ,14.77 ,    9.80
 30.0413 , 28.8325 ,17.20 ,    4.90
145.0529 , 29.5914 ,16.32 ,   19.80
187.9942 , 29.7097 ,15.28 ,    8.10
183.4517 , 29.9589 ,17.40 ,    2.68
150.1521 , 30.5361 ,18.06 ,    7.10
149.8600 , 30.7464 ,12.92 ,    0.81
147.5817 , 31.4567 ,17.68 ,    7.10
147.5933 , 31.4875 ,14.46 ,    7.11
188.2208 , 31.5392 ,13.53 ,    4.85
159.1804 , 31.5467 ,15.41 ,   10.90
126.2708 , 32.0175 ,16.80 ,    8.15
146.2675 , 32.2383 ,16.06 ,    6.56
189.6667 , 32.7667 ,16.07 ,    3.61
190.4471 , 32.8578 ,16.40 ,    7.30
145.7492 , 33.2644 ,16.27 ,    8.30
 97.6217 , 33.3019 ,15.98 ,    7.01
184.4354 , 33.3453 ,17.70 ,    4.70
188.3537 , 33.3514 ,16.30 ,    6.90
 36.7200 , 33.4269 ,17.50 ,    9.30
189.2058 , 33.6133 ,16.90 ,   11.70
 45.7746 , 33.6944 ,16.70 ,    4.43
133.2113 , 33.7978 ,17.40 ,    7.70
185.7196 , 33.8286 ,16.60 ,    7.78
 36.8333 , 33.9583 ,18.00 ,    9.30
191.1046 , 34.3864 ,16.00 ,    9.10
185.4792 , 35.0514 ,15.90 ,    9.70
211.7946 , 35.0603 ,17.50 ,    2.14
187.1625 , 35.7181 ,14.76 ,    4.43
208.7029 , 35.8375 ,15.30 ,    3.08
 36.2508 , 36.0378 ,15.80 ,    9.30
164.1683 , 36.1411 ,17.76 ,    9.20
183.7413 , 36.2189 ,15.86 ,    2.86
164.4458 , 36.2608 ,15.50 ,    9.20
148.7108 , 36.3339 ,17.93 ,   15.40
191.7492 , 36.4764 ,15.12 ,    5.40
163.0229 , 36.4767 ,17.90 ,    9.20
163.0729 , 36.5933 ,16.00 ,    9.20
163.1700 , 36.6650 ,15.80 ,    9.20
186.7713 , 37.1425 ,14.12 ,    4.88
187.1188 , 37.2333 ,14.98 ,    6.89
185.4292 , 37.9872 ,16.70 ,    7.60
190.0087 , 38.0006 ,17.50 ,    8.50
207.7129 , 38.0211 ,14.45 ,    3.22
188.2808 , 38.1161 ,18.44 ,   10.00
190.5629 , 38.5019 ,13.79 ,    4.57
 38.2250 , 38.6806 ,15.65 ,    9.30
356.3917 , 38.7178 ,16.70 ,    2.45
189.3388 , 38.7453 ,15.74 ,    6.61
185.1808 , 46.2092 , 0.00 ,    6.50
208.7108 , 54.6472 , 0.00 ,    7.41
155.2508 , 68.7000 , 0.00 ,    3.70
 36.1779 ,-73.5128 ,16.00 ,    4.10
340.4542 ,-64.4200 ,15.70 ,    0.88
100.4029 ,-50.9661 ,11.30 ,    0.10
194.0400 ,-50.1439 ,16.42 ,    4.29
203.4329 ,-48.1511 ,11.62 ,    3.47
207.0383 ,-47.5650 ,17.50 ,    3.66
206.5717 ,-45.6847 ,17.57 ,    3.84
205.5233 ,-45.2050 ,16.32 ,    3.58
198.2883 ,-44.8900 ,14.59 ,    3.82
205.8992 ,-43.7692 ,18.00 ,    3.63
198.2996 ,-43.2656 ,14.21 ,    3.60
201.3704 ,-43.0167 , 7.84 ,    3.75
200.5517 ,-42.7308 ,18.50 ,    3.94
205.4087 ,-42.5819 ,18.10 ,    3.93
348.7638 ,-42.5394 ,21.40 ,    8.32
200.5075 ,-42.5356 ,15.68 ,    3.87
198.1875 ,-41.8319 ,17.75 ,    4.21
197.8092 ,-38.9061 ,17.30 ,    3.60
206.5033 ,-36.3289 ,17.41 ,    3.60
 39.9779 ,-34.5258 , 9.28 ,    0.14
196.4333 , -7.7556 ,16.80 ,    5.00
151.3933 , -7.7492 ,16.36 ,    9.70
151.3083 , -7.7186 , 9.87 ,    9.68
153.2625 , -1.6144 ,11.30 ,    0.09
173.2375 , -0.5333 ,16.90 ,    0.16
166.4196 ,  0.1208 ,16.20 ,   10.70
172.7900 ,  2.2200 ,17.60 ,    0.18
214.8117 ,  3.1239 ,18.00 ,    8.00
344.6292 ,  5.9525 ,17.20 ,    0.18
163.0813 , 11.0433 ,16.20 ,   10.40
161.6250 , 11.7558 ,19.00 ,   10.40
164.5437 , 11.9992 ,18.50 ,   10.40
160.6442 , 12.1506 ,18.50 ,   10.40
152.1121 , 12.3081 ,11.18 ,    0.25
161.6729 , 12.3264 ,16.98 ,   10.40
162.6129 , 12.3608 ,18.30 ,   10.40
161.9567 , 12.5817 ,10.24 ,   11.12
162.0704 , 12.6292 ,10.85 ,   11.38
161.7283 , 12.7881 ,17.80 ,   10.40
247.7583 , 12.7917 ,15.00 ,    0.15
209.5000 , 12.8333 ,16.32 ,    0.04
162.8379 , 12.8492 ,16.90 ,   10.40
161.5600 , 12.9600 ,18.70 ,   10.40
170.6000 , 12.9794 ,16.70 ,   10.30
162.5796 , 13.2719 ,15.60 ,   11.07
162.7221 , 13.4122 ,11.44 ,   10.40
 15.0392 ,-33.7092 ,10.05 ,    0.09
200.7337 ,-33.5728 ,17.65 ,    4.60
340.1829 ,-30.7997 ,16.30 ,    2.00
283.7629 ,-30.4783 , 4.50 ,    0.02
206.6646 ,-29.9792 ,17.60 ,    4.60
204.1479 ,-29.5708 ,14.30 ,    4.68
  5.9654 ,-24.7050 ,17.73 ,    4.21
138.1221 ,-24.2411 ,16.35 ,    9.80
138.0771 ,-24.2111 ,17.27 ,    9.80
138.0808 ,-24.1717 ,11.24 ,    9.82
137.9263 ,-23.9822 ,18.00 ,    9.80
200.8746 ,-23.3931 ,17.53 ,    4.60
137.2954 ,-23.3678 ,17.70 ,    9.80
  3.8546 ,-21.4439 ,12.97 ,    5.30
 54.8783 ,-18.6881 ,11.92 ,   24.50
190.0371 ,-12.3647 ,18.50 ,    9.30
190.3288 ,-11.9275 ,18.00 ,    9.30
189.9792 ,-11.7467 ,18.50 ,    9.30
190.0129 ,-11.6678 ,18.40 ,    9.30
  6.5458 ,-11.0444 ,14.40 ,    0.78
189.6404 ,-10.4903 ,17.70 ,    9.30
149.9479 , -9.3433 ,18.00 ,    9.70
209.0421 , 40.3033 ,17.50 ,   10.00
 10.6754 , 40.8664 , 8.89 ,    0.49
154.5925 , 41.1658 ,18.40 ,   11.10
 10.0938 , 41.6864 , 8.72 ,    0.82
358.6988 , 42.4708 ,15.80 ,    0.86
 13.2200 , 43.2000 ,16.70 ,    0.79
  9.2792 , 44.3222 ,17.70 ,    0.74
 16.6404 , 44.8044 ,16.70 ,    0.63
  0.5604 , 45.0889 ,17.00 ,    1.36
  9.3629 , 45.3869 ,17.60 ,    0.83
 19.6250 , 46.3661 ,17.20 ,    0.60
185.2292 , 46.8292 ,19.40 ,    7.80
  7.5371 , 46.8519 ,15.90 ,    0.81
185.1692 , 47.0008 ,17.50 ,    7.80
184.9033 , 47.0925 ,18.60 ,    7.80
184.8908 , 47.4517 ,17.00 ,    7.80
185.1254 , 47.4903 ,20.50 ,    7.80
 17.5712 , 47.6281 ,15.92 ,    0.81
185.9425 , 47.6589 ,18.40 ,    7.80
184.7771 , 47.7308 ,18.50 ,    7.80
  5.9400 , 47.9161 ,18.40 ,    0.76
  9.7417 , 48.3361 , 9.99 ,    0.61
  8.2983 , 48.5078 ,10.36 ,    0.76
143.5154 , 70.2158 ,19.30 ,    3.66
148.8067 , 70.4081 ,19.50 ,    3.93
152.3954 , 70.5486 ,18.00 ,    9.00
146.1433 , 71.4825 ,16.70 ,    3.39
165.2171 , 13.8808 ,16.96 ,   10.40
161.1471 , 13.9397 ,16.40 ,   10.40
161.9267 , 13.9856 ,11.24 ,   10.91
161.6033 , 14.0250 ,18.00 ,   10.40
210.0000 , 14.5000 ,13.66 ,    0.07
163.0838 , 14.7072 ,18.60 ,   10.40
163.0200 , 15.0306 ,17.10 ,   10.40
194.1042 , 15.0858 ,16.90 ,    6.00
151.7633 , 16.0736 ,16.21 ,    0.02
196.1246 , 17.7589 ,17.30 ,    4.40
320.3792 , 19.1172 ,15.90 ,    0.02
 34.8167 , 20.1753 ,16.20 ,    0.03
170.7646 , 21.3269 ,18.40 ,   10.00
143.2038 , 21.4650 ,16.36 ,    8.90
195.6746 , 21.9975 ,17.40 ,    4.40
168.3717 , 22.1547 ,12.61 ,    0.21
186.7458 , 23.9042 ,14.98 ,    0.04
357.9433 , 24.5861 ,14.17 ,    0.82
209.2808 , 26.7750 ,12.60 ,    0.05
 21.9167 , 28.0903 ,18.80 ,    0.79
162.9963 , 28.3625 ,17.40 ,   10.00
184.6225 , 28.6458 ,16.50 ,    9.00
203.1508 , 49.8303 ,16.70 ,    8.00
351.6325 , 50.6756 ,13.65 ,    0.79
162.3375 , 51.0500 ,16.04 ,    0.04
158.7200 , 51.9200 ,15.29 ,    0.10
209.3108 , 54.1008 ,15.77 ,    8.32
243.4483 , 54.3711 ,17.00 ,    1.86
179.3983 , 55.4586 ,13.43 ,   10.30
260.0058 , 57.9094 ,10.90 ,    0.08
 39.1479 , 59.6550 ,13.47 ,    3.01
132.8750 , 63.1300 ,14.80 ,    0.03
150.0667 , 63.1850 ,17.87 ,    3.91
158.6329 , 66.0117 ,16.90 ,    3.85
151.2804 , 66.5550 ,16.01 ,    3.50
113.5471 , 66.8861 ,15.64 ,    3.19
151.6925 , 67.2011 ,19.70 ,    3.87
227.2971 , 67.2144 ,11.90 ,    0.06
146.2083 , 67.4756 ,15.70 ,    3.77
147.5417 , 67.5067 ,16.30 ,    3.48
156.6163 , 67.6567 ,16.50 ,    3.72
151.7579 , 67.8275 ,15.52 ,    3.70
151.1679 , 68.2556 ,17.53 ,    3.78
152.0246 , 68.3992 ,16.50 ,    3.75
149.2612 , 68.5917 ,15.24 ,    3.60
153.7325 , 68.7575 ,20.20 ,    4.57
146.2917 , 68.7650 ,17.50 ,    3.40
153.7788 , 69.0375 ,20.50 ,    4.07
146.0938 , 69.2111 ,21.00 ,    3.98
 12.8958 , 29.6969 ,16.90 ,    0.73
184.9112 , 29.8833 ,15.22 ,   16.67
185.4871 , 30.0742 ,14.11 ,   14.00
182.6400 , 30.4017 ,12.49 ,   13.74
359.7317 , 30.7556 ,17.00 ,    0.73
338.1717 , 31.2161 ,16.70 ,    0.65
192.2196 , 31.9703 ,17.50 ,    5.40
 14.8742 , 32.3767 ,15.70 ,    0.52
190.8525 , 32.4822 ,17.40 ,    7.30
190.9358 , 32.5344 ,19.00 ,    7.30
190.4988 , 32.5736 ,13.01 ,    7.30
 33.2325 , 32.8142 ,17.00 ,    4.19
 12.6767 , 32.9164 ,16.28 ,    0.63
 12.9625 , 33.0044 ,18.20 ,    0.84
 19.1242 , 33.4192 ,15.10 ,    0.65
202.0146 , 33.5558 ,13.94 ,    0.22
133.8417 , 33.5592 ,17.70 ,    7.70
 11.5833 , 33.8014 ,18.50 ,    0.73
194.2917 , 34.3208 ,16.95 ,    0.16
 11.8625 , 34.3747 ,18.70 ,    0.83
  4.8838 , 35.0436 ,16.80 ,    0.93
  1.8779 , 35.1322 ,19.00 ,    0.80
192.3054 , 35.6125 ,17.62 ,    4.74
 17.3621 , 35.7175 ,11.21 ,    3.05
  8.8908 , 36.4978 ,15.20 ,    0.75
 11.4167 , 38.0372 ,13.90 ,    0.73
 18.5779 , 38.1175 ,15.90 ,    0.76
 22.3408 , 38.7189 ,15.10 ,    0.73
  9.1454 , 49.6467 , 0.00 ,    0.68
