|name             |ra        |dec      |bmag |ks_mag|ks_mag_flag|linear_diameter|distance|radial_velocity|abs_bmag|
|ESO269-037       |13 03 33.6|-46 35 03|16.29| 13.42|C          |           1.36|    3.48|            744|   -12.0|
|PGC051659        |14 28 03.7|-46 18 06|15.20| 12.34|C          |           2.11|    3.58|            391|   -13.1|
|IC5201           |22 20 57.4|-46 02 03|11.30|  8.00|           |          21.85|    8.80|            915|   -18.8|
|AM2220-460       |22 23 43.0|-45 52 56|16.37| 13.97|C          |           2.30|    8.80|            843|   -13.4|
|KK217            |13 46 17.2|-45 41 05|17.57| 12.99|C          |           0.83|    3.84|               |   -10.9|
|ESO270-017       |13 34 47.3|-45 32 51|11.71|  8.20|           |          16.92|    3.60|            827|   -17.1|
|KK203            |13 27 28.1|-45 21 09|17.70| 14.95|C          |           0.58|    3.60|               |   -10.5|
|KK211            |13 42 05.6|-45 12 18|16.32| 11.78|C          |           1.41|    3.58|            600|   -11.9|
|PGC013294        |03 35 56.8|-45 11 29|16.13| 13.73|C          |           1.43|    7.98|            744|   -13.4|
|KK196            |13 21 47.1|-45 03 48|16.14| 13.46|C          |           1.08|    3.98|            741|   -12.2|
|ESO269-066       |13 13 09.2|-44 53 24|14.59| 10.12|C          |           2.58|    3.82|            784|   -13.7|
|ESO272-025       |14 43 25.5|-44 42 19|14.79| 12.27|           |           3.06|    5.88|            631|   -14.8|
|Phoenix          |01 51 06.3|-44 26 41|13.72| 11.31|C          |           0.71|    0.44|            -52|    -9.6|
|KK213            |13 43 35.8|-43 46 09|18.00| 13.52|C          |           0.56|    3.63|               |   -10.2|
|ESO245-005       |01 45 03.6|-43 35 53|12.70| 10.26|           |           4.95|    4.43|            393|   -15.6|
|NGC5011C         |13 13 11.9|-43 15 56|14.21| 11.24|           |           1.35|    3.60|            647|   -14.1|
|NGC5128          |13 25 28.9|-43 01 00| 7.84|  3.94|           |          42.65|    3.75|            556|   -20.8|
|[KK2000] 51      |12 44 21.5|-42 56 23|17.30| 14.60|C          |           0.60|    3.60|               |   -10.9|
|NGC5237          |13 37 38.9|-42 50 51|13.23|  9.85|           |           2.14|    3.40|            361|   -14.9|
|HIPASS J0457-42  |04 56 58.7|-42 48 14|14.46| 12.06|C          |           2.88|    7.20|            657|   -14.9|
|[KK2000] 55      |13 22 12.4|-42 43 51|18.50| 13.82|C          |           1.09|    3.94|               |   -10.1|
|[KK2000] 57      |13 41 38.1|-42 34 55|18.10| 13.64|C          |           0.70|    3.93|               |   -10.3|
|ApplesI          |23 15 03.3|-42 32 22|21.40| 17.25|C          |           0.24|    8.32|            674|    -8.3|
|KK197            |13 22 01.8|-42 32 08|15.68| 10.98|C          |           2.15|    3.87|               |   -12.9|
|ESO325-011       |13 45 00.8|-41 51 32|14.02| 11.32|           |           3.30|    3.40|            544|   -14.0|
|ESO294-010       |00 26 33.3|-41 51 20|15.53| 14.08|           |           0.84|    1.92|            107|   -10.9|
|KK189            |13 12 45.0|-41 49 55|17.75| 13.20|C          |           0.84|    4.21|               |   -10.9|
|ESO324-024       |13 27 37.4|-41 28 50|12.91| 10.35|           |           3.93|    3.73|            514|   -15.5|
|NGC0625          |01 35 05.0|-41 26 11|11.59|  8.90|           |           7.73|    3.89|            395|   -16.4|
|NGC5408          |14 03 21.5|-41 22 35|12.20| 10.50|           |           4.06|    4.81|            502|   -16.5|
|NGC1291          |03 17 18.6|-41 06 29| 9.42|  5.66|           |          37.35|    8.80|            838|   -20.4|
|ESO300-014       |03 09 37.8|-41 01 50|13.06| 10.00|           |          19.96|    9.80|            955|   -17.1|
|NGC7462          |23 02 47.2|-40 50 06|12.53|  9.65|           |          15.20|   10.10|           1057|   -18.2|
|KK55             |06 39 32.9|-40 43 13|16.05| 13.40|C          |           1.66|    7.65|            824|   -13.7|
|KK182            |13 05 02.9|-40 04 58|16.33| 13.47|           |           1.65|    5.78|            617|   -12.9|
|ESO300-016       |03 10 10.5|-40 00 11|15.57| 13.15|C          |           3.72|    8.80|            710|   -14.2|
|HIPASS J1337-39  |13 37 25.1|-39 53 52|16.50| 13.80|           |           0.78|    4.83|            492|   -12.2|
|ESO320-014       |11 37 53.4|-39 13 14|15.85| 12.90|           |           2.74|    6.08|            654|   -13.7|
|NGC0055          |00 15 08.5|-39 13 13| 8.84|  6.25|           |          21.71|    2.13|            129|   -18.4|
|[KK2000] 53      |13 11 14.2|-38 54 22|17.30| 12.85|C          |           0.93|    3.60|               |   -10.9|
|ESO318-013       |10 47 41.9|-38 51 15|14.97| 12.07|C          |           3.34|    6.50|            718|   -14.4|
|ESO321-014       |12 13 49.6|-38 13 53|15.21| 12.70|           |           1.38|    3.18|            609|   -12.7|
|AM0106-382       |01 08 22.0|-38 12 33|16.26| 13.86|C          |           1.71|    8.20|            645|   -13.4|
|HIPASS J1348-37  |13 48 33.9|-37 58 03|17.60| 14.90|           |           0.83|    5.75|            582|   -11.5|
|NGC7713          |23 36 15.0|-37 56 20|11.49|  9.19|           |          15.03|    7.80|            692|   -18.4|
|ESO348-009       |23 49 23.4|-37 46 25|14.81| 12.41|C          |           7.45|   11.50|            647|   -15.6|
|NGC0300          |00 54 53.5|-37 40 57| 8.95|  6.38|           |          16.05|    2.15|            146|   -17.9|
|ESO347-017       |23 26 56.1|-37 20 49|14.69| 11.78|C          |           4.10|    7.60|            691|   -14.8|
|LV J2335-3713    |23 35 04.1|-37 13 14|16.64| 14.23|C          |           1.30|    7.80|            615|   -12.9|
|ESO376-016       |10 43 27.1|-37 02 33|15.53| 12.95|C          |           1.47|    7.10|            670|   -14.0|
|NGC5102          |13 21 57.8|-36 37 47|10.28|  6.92|           |          13.44|    3.40|            464|   -18.1|
|[KK2000] 58      |13 46 00.8|-36 19 44|17.41| 13.06|C          |           1.04|    3.60|               |   -10.6|
|IC5332           |23 34 27.5|-36 06 06|11.00|  8.70|           |          19.05|    7.80|            701|   -18.6|
|ESO383-087       |13 49 18.8|-36 03 41|11.00|  8.20|           |           5.98|    3.45|            326|   -17.0|
|HIPASS J0905-36  |09 06 00.0|-36 03 36|17.40| 13.38|C          |           1.69|    7.93|            886|   -13.9|
|ESO381-018       |12 44 42.7|-35 58 00|15.72| 13.52|           |           1.28|    5.32|            624|   -13.2|
|ESO379-024       |12 04 56.7|-35 44 35|16.58| 13.93|C          |           1.12|    4.88|            632|   -12.2|
|ESO384-016       |13 57 01.6|-35 20 02|15.11| 12.00|           |           1.83|    4.53|            561|   -13.5|
|ESO349-031       |00 08 13.3|-34 34 42|15.71| 13.02|           |           1.15|    3.21|            221|   -11.9|
|Fornax           |02 39 54.7|-34 31 33| 9.28|  5.13|C          |           0.72|    0.14|             29|   -11.5|
|HIPASS J0607-34  |06 07 19.7|-34 12 16|14.09| 11.50|           |           2.24|    7.40|            765|   -15.5|
|NGC2188          |06 10 09.5|-34 06 22|12.14|  9.50|           |           9.82|    7.40|            745|   -17.5|
|ESO381-020       |12 46 00.4|-33 50 17|14.44| 12.11|           |           4.57|    5.45|            589|   -14.5|
|Sculptor         |01 00 09.4|-33 42 33|10.05|  5.90|C          |           1.04|    0.09|            105|    -9.8|
|KK198            |13 22 56.1|-33 34 22|17.65| 13.28|C          |           0.73|    4.60|               |   -11.0|
|ESO379-007       |11 54 43.0|-33 33 29|16.60| 13.60|           |           1.50|    5.22|            644|   -12.3|
|Centaurus A-dE5  |14 30 05.0|-33 28 45|18.43| 15.78|C          |           1.44|    9.00|               |   -11.7|
|HIDEEP J1337-33  |13 37 00.6|-33 21 47|17.30| 14.76|C          |           0.26|    4.37|            591|   -11.1|
|ESO373-007       |09 32 45.4|-33 14 44|16.40| 13.52|C          |           3.44|    8.30|            862|   -13.8|
|ESO364-029       |06 05 45.4|-33 04 54|13.67| 10.27|           |           8.06|    7.59|            787|   -15.9|
|NGC5398          |14 01 22.2|-33 03 52|12.78| 10.34|           |           8.65|    8.10|           1220|   -17.1|
|HIPASS J1133-32  |11 33 11.0|-32 57 43|16.27| 13.68|C          |           1.05|    6.70|            709|   -13.1|
|NGC3621          |11 18 16.1|-32 48 42|10.18|  6.60|           |          25.02|    6.70|            730|   -19.8|
|NGC7793          |23 57 49.4|-32 35 24| 9.72|  6.85|           |          16.09|    3.91|            227|   -18.5|
|UGCA438          |23 26 27.5|-32 23 26|13.89| 11.04|           |           1.36|    2.18|             62|   -12.9|
|ESO410-005       |00 15 31.4|-32 10 48|14.90| 12.50|C          |           0.91|    1.92|             36|   -11.6|
|UGCA442          |23 43 46.0|-31 57 33|13.60| 11.42|           |           7.35|    4.27|            267|   -14.7|
