|name             |ra        |dec      |bmag |ks_mag|ks_mag_flag|linear_diameter|distance|radial_velocity|abs_bmag|
|NGC3115          |10 05 14.0|-07 43 07| 9.87|  5.88|           |          24.04|    9.68|            681|   -20.8|
|MCG -01-26-009   |10 01 33.6|-06 31 30|16.10| 13.61|C          |           3.24|    9.70|            748|   -14.0|
|KKSG15           |09 55 10.5|-06 16 12|15.14| 12.63|C          |           3.56|    9.70|            791|   -15.0|
|UGCA193          |10 02 36.2|-06 00 43|14.67| 12.00|           |          11.23|    9.70|            663|   -15.8|
|KKSG38           |12 53 31.6|-05 55 40|17.00| 14.51|C          |           2.64|   10.40|           1071|   -13.2|
|NGC4597          |12 40 12.9|-05 47 57|12.58| 11.68|           |          16.22|   10.10|           1039|   -17.8|
|DDO148           |12 48 43.1|-05 15 14|13.70| 10.99|C          |           6.22|    9.00|           1337|   -16.2|
|HIPASS J1258-04  |12 58 49.6|-04 53 19|15.26| 12.81|C          |           1.59|    6.50|           1318|   -13.9|
|SexA             |10 11 00.8|-04 41 34|11.86| 10.18|           |           2.34|    1.32|            324|   -13.9|
|HIZSS003         |07 00 29.3|-04 12 30|18.00| 11.39|C          |           0.66|    1.67|            298|   -12.8|
|NGC1637          |04 41 28.2|-02 51 29|11.47|  7.98|           |          12.12|    9.29|            713|   -18.7|
|UGC06145         |11 05 35.0|-01 51 49|16.45| 13.88|C          |           4.42|   10.70|            753|   -13.9|
|SexDSph          |10 13 03.0|-01 36 52|11.30|  7.01|C          |           0.83|    0.09|            227|    -8.7|
|KKSG22           |11 06 07.7|-01 26 55|18.20| 15.67|C          |           1.61|   10.70|               |   -12.2|
|LeoIV            |11 32 57.0|-00 32 00|16.90| 12.70|C          |           0.34|    0.16|            132|    -4.2|
|KDG155           |12 33 08.0|-00 31 59|16.40| 13.96|C          |           2.86|    8.11|            750|   -13.2|
|NGC3521          |11 05 48.6|-00 02 09| 9.83|  5.78|           |          34.92|   10.70|            797|   -21.2|
|KDG058           |09 40 27.0|+00 02 33|17.20| 14.62|C          |           2.01|   10.00|               |   -13.1|
|KKSG20           |11 04 40.6|+00 03 30|17.51| 15.01|C          |           1.68|   10.70|            835|   -12.8|
|NGC4517          |12 32 45.5|+00 06 54|11.09|  7.33|           |          31.95|    9.70|           1134|   -20.2|
|NGC3521sat       |11 05 40.7|+00 07 15|16.20| 11.90|C          |           8.13|   10.70|               |   -14.2|
|LV J1021+0054    |10 21 38.9|+00 54 00|17.50| 14.94|C          |           0.86|    6.78|            701|   -11.9|
|CGCG 014-054     |12 31 03.8|+01 40 33|15.60| 13.18|C          |           3.53|    9.60|           1105|   -14.4|
|UGC05797         |10 39 25.2|+01 43 07|14.28| 11.81|           |           2.57|    7.00|            710|   -15.1|
|IC1613           |01 04 47.8|+02 08 00| 9.88|  7.43|C          |           4.11|    0.73|           -232|   -14.5|
|UGC07512         |12 25 41.3|+02 09 32|15.20| 12.78|C          |           4.42|   10.60|           1506|   -15.0|
|LeoV             |11 31 09.6|+02 13 12|17.60| 13.39|C          |           0.21|    0.18|            173|    -3.8|
|NGC4600          |12 40 23.0|+03 07 04|13.70|  9.81|           |           3.49|    7.35|            852|   -15.8|
|KKR08            |14 19 14.8|+03 07 26|18.00| 13.76|C          |           1.35|    8.00|               |   -11.7|
|UGC07983         |12 49 47.0|+03 50 32|16.20| 13.69|C          |           2.28|    9.40|            694|   -13.9|
|AGC208397        |10 38 58.1|+03 52 27|19.70| 17.19|C          |           1.32|   26.20|            763|   -12.6|
|KKH86            |13 54 33.6|+04 14 35|16.88| 14.09|           |           0.65|    2.59|            287|   -10.3|
|NGC4765          |12 53 14.4|+04 27 47|13.37| 10.82|           |           5.39|    9.70|            722|   -16.8|
|UGC03303         |05 24 59.5|+04 30 18|13.95| 10.73|C          |          13.06|    7.14|            519|   -16.0|
|VCC1713          |12 37 29.1|+04 45 05|15.86| 13.42|C          |           1.21|    7.20|           1638|   -13.5|
|AGC208399        |10 40 10.7|+04 54 32|20.00| 17.54|C          |           0.99|   20.90|            747|   -11.7|
|Orion            |05 45 02.0|+05 04 06|15.40| 10.90|           |          11.17|    6.46|            368|   -17.0|
|KKH46            |09 08 36.6|+05 17 32|17.05| 14.52|C          |           1.02|    5.60|            598|   -11.9|
|SexB             |10 00 00.1|+05 19 56|11.85|  9.50|           |           2.41|    1.36|            300|   -14.0|
|VCC0114          |12 14 35.2|+05 40 38|16.16| 13.75|C          |           1.42|    8.20|           2067|   -13.5|
|PiscesII         |22 58 31.0|+05 57 09|17.20| 12.84|C          |           0.10|    0.18|               |    -4.4|
|VCC0565          |12 22 38.5|+06 00 52|15.86| 13.42|C          |           1.61|    9.60|            871|   -14.2|
|LV J1030+0607    |10 30 44.3|+06 07 38|16.80| 14.35|C          |           1.61|    7.80|            640|   -12.8|
|CGCG 035-007     |09 34 44.9|+06 25 32|15.22| 12.68|C          |           4.14|   13.00|            552|   -15.6|
|VCC0381          |12 19 54.1|+06 39 57|16.67| 14.31|C          |           1.06|    4.71|            480|   -11.7|
|KK49             |05 41 41.5|+06 40 54|16.10| 10.39|           |           2.89|    5.15|            455|   -14.9|
|VCC1822          |12 40 10.4|+06 50 49|16.40| 13.97|C          |           1.95|    8.10|           1008|   -13.2|
|UGC05923         |10 49 07.6|+06 55 02|14.40| 11.46|           |           8.13|   22.30|            709|   -17.7|
|IC3591           |12 37 03.0|+06 55 36|14.39| 11.60|           |           3.68|    9.80|           1632|   -15.7|
|AGC191803        |09 48 05.9|+07 07 45|16.50| 14.05|C          |           3.12|   14.90|            535|   -14.5|
|A0554+07         |05 57 36.7|+07 29 31|18.40| 13.72|C          |           1.94|    5.50|            428|   -12.9|
|AGC174605        |07 50 21.7|+07 47 40|18.00| 15.56|C          |           0.60|    6.00|            351|   -11.0|
|UGC05288         |09 51 17.2|+07 49 38|14.62| 11.49|           |           2.92|    6.85|            557|   -14.8|
|UGC07636         |12 30 01.0|+07 55 46|14.90| 12.47|C          |           1.36|    5.20|            469|   -13.8|
|VCC1675          |12 36 35.0|+08 03 17|14.80| 12.10|           |           3.09|    7.50|           1790|   -14.7|
|HIPASS J0630+08  |06 30 09.0|+08 22 37|     |      |C          |               |    3.55|            367|        |
|VCC2033          |12 46 04.5|+08 28 35|15.30| 12.45|           |           1.59|    9.80|           1485|   -14.8|
|LeG03            |10 35 48.8|+08 28 47|17.30| 14.60|C          |           2.79|   10.40|           1158|   -12.9|
|VCC1725          |12 37 41.2|+08 33 33|14.89| 11.74|           |           2.90|    8.50|           1076|   -14.9|
|UGC07596         |12 28 33.9|+08 38 23|14.90| 12.47|C          |           2.09|    4.60|            565|   -13.5|
|IC0559           |09 44 43.9|+09 36 55|14.98| 12.52|C          |           3.66|    9.40|            541|   -15.0|
|VCC0169          |12 15 56.2|+09 38 57|16.67| 14.25|C          |           2.33|    9.40|           2219|   -13.3|
|UGC06014         |10 53 42.7|+09 43 41|15.00| 12.49|C          |           3.67|   10.40|           1133|   -15.3|
|AGC174585        |07 36 10.3|+09 59 11|17.90| 15.39|C          |           0.72|    6.10|            356|   -11.2|
|VCC2037          |12 46 15.3|+10 12 12|15.80| 13.35|C          |           2.57|    7.40|           1142|   -13.7|
|UGC05456         |10 07 19.7|+10 21 44|13.84| 11.63|           |           2.67|    5.60|            527|   -15.1|
|LeG28            |10 53 00.7|+10 22 45|18.30| 15.85|C          |           2.04|   10.40|               |   -11.9|
|AGC200499        |10 38 08.0|+10 22 51|14.40| 11.56|           |           2.62|   10.40|           1175|   -15.9|
|UGC03755         |07 13 51.8|+10 31 19|14.07| 11.66|           |           4.27|    7.41|            311|   -15.7|
|AGC202456        |10 52 19.5|+11 02 36|16.20| 12.01|C          |           2.23|   10.40|            824|   -14.0|
|LeG22            |10 49 37.1|+11 21 06|18.00| 15.53|C          |           1.72|   10.40|               |   -12.2|
|AGC202248        |10 34 56.1|+11 29 32|17.50| 15.08|C          |           1.13|   10.40|           1177|   -12.7|
|LeG12            |10 44 07.8|+11 31 59|18.50| 16.03|C          |           0.67|   10.40|               |   -11.7|
|NGC3351          |10 43 57.7|+11 42 13|10.58|  6.67|           |          21.39|   10.05|            777|   -19.8|
|CGCG 066-109     |11 04 26.5|+11 45 18|16.20| 13.80|C          |           3.05|   10.40|            777|   -14.0|
|LeG16            |10 46 30.0|+11 45 21|19.00| 14.80|C          |           0.90|   10.40|               |   -11.2|
|NGC3368          |10 46 45.8|+11 49 11|10.11|  6.32|           |          27.25|   10.42|            893|   -20.4|
|LeG13            |10 44 57.6|+11 54 58|17.43| 14.99|C          |           1.25|   10.40|            871|   -12.8|
|UGC08061         |12 56 43.4|+11 55 52|15.97| 13.50|C          |           1.60|    6.49|            563|   -13.2|
|LSBC D640-14     |10 58 10.5|+11 59 57|18.50| 14.34|C          |           1.45|   10.40|               |   -11.7|
|LSBC D640-13     |10 56 14.0|+12 00 37|16.90| 14.48|C          |           1.73|   10.40|            989|   -13.3|
|LeG10            |10 43 55.4|+12 08 07|19.20| 16.75|C          |           0.49|   10.40|               |   -11.0|
|LeG09            |10 42 34.6|+12 09 02|18.50| 14.30|C          |           2.19|   10.40|               |   -11.7|
|LeoI             |10 08 26.9|+12 18 29|11.18|  6.93|C          |           0.73|    0.25|            283|   -11.0|
|LeG17            |10 46 41.5|+12 19 35|16.98| 12.79|C          |           1.76|   10.40|           1030|   -13.2|
|FS04             |10 42 00.3|+12 20 06|15.70| 13.00|C          |           3.00|   10.40|            772|   -14.5|
|LSBC D640-12     |10 55 57.1|+12 20 20|18.40| 15.98|C          |           1.34|   10.40|            847|   -11.8|
|IC3718           |12 44 46.0|+12 21 05|14.00| 11.91|           |           4.98|    6.80|            849|   -15.3|
|KK96             |10 50 27.1|+12 21 39|18.30| 14.10|C          |           1.87|   10.40|               |   -11.9|
|AGC205156        |10 30 52.9|+12 26 48|18.60| 16.13|C          |           0.49|   10.43|            915|   -11.6|
|UGC05812         |10 40 56.6|+12 28 19|15.50| 12.81|C          |           4.41|   10.40|           1008|   -14.7|
|NGC3379          |10 47 49.6|+12 34 54|10.24|  6.27|           |          17.86|   11.12|            923|   -20.1|
|NGC3384          |10 48 16.9|+12 37 45|10.85|  6.75|           |          18.09|   11.38|            704|   -19.6|
|LeG05            |10 39 43.3|+12 38 04|16.77| 14.32|C          |           1.82|   10.40|            780|   -13.4|
|AGC202256        |11 14 45.0|+12 38 51|16.70| 14.28|C          |           1.27|   11.00|            630|   -13.6|
|NGC3299          |10 36 23.8|+12 42 27|13.30| 10.97|           |           7.35|   10.40|            604|   -17.0|
|LeG04            |10 39 40.2|+12 44 06|18.70| 16.24|C          |           1.58|   10.40|               |   -11.5|
|LeG18            |10 46 53.3|+12 44 40|18.90| 16.46|C          |           0.86|   10.40|            636|   -11.3|
|LeG19            |10 46 54.8|+12 47 17|17.80| 13.61|C          |           1.13|   10.40|               |   -12.4|
|Hercules         |16 31 02.0|+12 47 30|15.00| 10.66|C          |           0.60|    0.15|             45|    -6.1|
|NGC3593          |11 14 35.9|+12 49 07|11.85|  7.42|           |          18.20|   10.80|            631|   -18.9|
|BootesII         |13 58 00.0|+12 50 00|16.32| 12.15|C          |           0.08|    0.04|           -117|    -1.9|
|LeG26            |10 51 21.1|+12 50 57|16.90| 12.71|C          |           2.14|   10.40|            630|   -13.3|
|IC2791           |11 23 37.6|+12 53 45|16.90| 14.45|C          |           1.74|   10.30|            666|   -13.3|
|LeG21            |10 47 00.8|+12 57 35|18.60| 16.13|C          |           0.77|   10.40|            843|   -11.6|
|LeG14            |10 46 14.4|+12 57 36|18.70| 14.51|C          |           1.13|   10.40|               |   -11.5|
|AGC213436        |11 22 24.0|+12 58 46|16.70| 12.50|C          |           1.61|   10.30|            626|   -13.5|
|NGC3627          |11 20 15.0|+12 59 29| 9.65|  5.88|           |          30.58|   10.28|            716|   -21.1|
|KK94             |10 46 57.3|+12 59 54|17.50| 15.03|C          |           1.78|   10.40|            832|   -12.7|
|IC2684           |11 17 01.0|+13 05 59|16.15| 13.69|C          |           2.47|   10.30|            588|   -14.0|
|IC3583           |12 36 43.5|+13 15 34|13.31| 11.20|           |           6.47|    7.60|           1120|   -16.4|
|UGC05944         |10 50 19.1|+13 16 19|15.60| 12.00|           |           3.71|   11.07|           1073|   -14.8|
|NGC3412          |10 50 53.3|+13 24 44|11.44|  7.67|           |          12.09|   10.40|            846|   -18.8|
|LeG23            |10 50 09.1|+13 29 01|19.10| 16.62|C          |           0.55|   10.40|               |   -11.1|
|IC2787           |11 23 19.1|+13 37 47|15.70| 13.23|C          |           3.29|   10.30|            708|   -14.5|
|AGC205268        |10 42 52.4|+13 44 28|17.40| 14.93|C          |           1.15|   10.40|           1145|   -12.8|
|KDG177           |12 39 58.5|+13 46 53|16.36| 13.88|C          |           2.13|    8.20|           1005|   -13.4|
|LSBC D640-08     |11 00 52.1|+13 52 51|16.96| 12.80|C          |           2.46|   10.40|               |   -13.2|
|NGC3489          |11 00 18.6|+13 54 04|11.12|  7.37|           |          13.26|   12.08|            695|   -19.5|
|LeG06            |10 39 55.7|+13 54 28|18.30| 15.81|C          |           1.94|   10.40|           1007|   -11.9|
|AGC205445        |10 44 35.3|+13 56 23|16.40| 12.17|C          |           1.87|   10.40|            633|   -13.8|
|NGC3377          |10 47 42.4|+13 59 08|11.24|  7.44|           |          16.95|   10.91|            678|   -19.1|
|KK93             |10 46 24.8|+14 01 30|18.00| 13.78|C          |           1.80|   10.40|               |   -12.2|
|DDO088           |10 47 22.3|+14 04 13|14.40| 11.91|C          |           4.95|    7.73|            573|   -15.2|
|AGC205540        |10 51 31.4|+14 06 53|18.00| 15.52|C          |           0.97|   10.40|            832|   -12.2|
|AGC205278        |10 58 52.1|+14 07 46|17.30| 14.88|C          |           1.63|   10.40|            686|   -12.9|
|LeG33            |11 00 45.2|+14 10 20|18.60| 16.18|C          |           1.04|   10.40|               |   -11.6|
|GR8              |12 58 40.4|+14 13 03|14.79| 12.90|           |           1.05|    2.13|            217|   -12.0|
|AGC215354        |11 19 15.9|+14 17 25|17.40| 14.96|C          |           1.52|   10.42|            790|   -12.8|
|IC3023           |12 10 01.7|+14 22 01|15.35| 12.85|C          |           2.51|    7.70|            817|   -14.2|
|UGC04115         |07 57 01.8|+14 23 27|15.23| 12.13|           |           4.29|    7.73|            343|   -14.3|
|IC3077           |12 15 56.3|+14 25 59|15.01| 12.69|           |           4.77|    9.10|           1406|   -14.9|
|LV J1952+1428    |19 52 11.8|+14 28 24|16.90| 13.54|C          |           0.79|    7.13|            279|   -13.5|
|BootesI          |14 00 00.0|+14 30 00|13.66|  9.49|C          |           0.38|    0.07|             99|    -5.5|
|LSBC D634-03     |09 08 53.5|+14 34 55|17.50| 15.00|C          |           1.34|    9.55|            335|   -12.6|
|LeG27            |10 52 20.1|+14 42 26|18.60| 14.42|C          |           1.13|   10.40|               |   -11.6|
|Pegasus          |23 28 34.1|+14 44 48|13.21|  9.87|           |           1.26|    0.76|           -184|   -11.5|
|VCC0841          |12 25 47.0|+14 57 07|15.50| 13.04|C          |           2.51|    7.90|            499|   -14.1|
|KDG104           |12 21 27.9|+15 01 28|16.88| 14.40|C          |           2.25|    9.40|           1861|   -13.1|
|AGC205544        |10 52 04.8|+15 01 50|17.10| 12.92|C          |           1.37|   10.40|            828|   -13.1|
|KDG216           |12 56 25.0|+15 05 09|16.90| 12.73|C          |           1.99|    6.00|               |   -12.1|
|AGC205165        |10 37 04.8|+15 20 15|16.40| 13.90|C          |           2.24|   10.40|            724|   -13.9|
|AGC748778        |00 06 34.4|+15 30 39|18.90| 16.29|C          |           0.53|    5.40|            258|   -10.0|
|LeG11            |10 44 02.1|+15 35 20|18.80| 16.32|C          |           1.08|   10.40|               |   -11.4|
|LV J1158+1535    |11 58 40.4|+15 35 34|18.20| 15.63|C          |           0.61|    6.27|            565|   -11.0|
|KDG010           |01 43 41.4|+15 41 23|16.28| 13.64|C          |           3.49|    7.87|            789|   -13.5|
|NGC0628          |01 36 41.3|+15 47 12| 9.79|  6.85|           |          25.40|    7.31|            657|   -19.8|
|GR34             |12 22 07.6|+15 47 57|15.95| 13.50|C          |           2.45|    8.90|           1298|   -13.9|
|UGC01171         |01 39 41.6|+15 54 11|15.71| 13.13|C          |           2.91|    7.38|            738|   -13.9|
|DDO013           |01 40 09.6|+15 54 17|14.37| 11.76|C          |          12.64|    9.04|            631|   -15.7|
|Segue 1          |10 07 03.2|+16 04 25|16.21| 11.98|C          |           0.05|    0.02|            206|    -0.7|
|UGC02905         |03 57 00.6|+16 31 28|15.76| 12.17|           |           2.23|    5.83|            292|   -14.4|
|KK65             |07 42 31.2|+16 33 40|15.34| 12.53|           |           2.64|    8.02|            281|   -14.3|
|UGC00685         |01 07 22.3|+16 41 02|14.22| 11.64|C          |           3.28|    4.51|            156|   -14.3|
|UGC01056         |01 28 47.2|+16 41 17|14.81| 12.00|           |           2.24|    7.30|            595|   -14.8|
|DDO047           |07 41 55.0|+16 48 02|13.62| 11.00|           |          11.22|    8.05|            270|   -16.1|
|LeoT             |09 34 53.4|+17 03 05|16.50| 14.03|C          |           0.26|    0.42|             39|    -6.7|
|NGC3239          |10 25 04.9|+17 09 49|11.73|  9.00|           |          11.64|    7.90|            754|   -18.1|
|UGC02684         |03 20 23.7|+17 17 42|16.29| 13.46|           |           4.07|    6.49|            350|   -13.4|
|UGC02716         |03 24 07.2|+17 45 15|14.64| 11.50|           |           3.28|    6.40|            381|   -15.0|
|KK180            |13 04 29.9|+17 45 32|17.30| 13.11|C          |           1.15|    4.40|               |   -11.0|
|LeoP             |10 21 45.1|+18 05 17|17.20| 14.75|C          |           0.32|    2.00|            262|    -9.4|
|UGC01104         |01 32 42.3|+18 18 57|14.48| 11.81|           |           4.06|    7.55|            688|   -15.2|
|Segue 3          |21 21 31.0|+19 07 02|15.90| 11.43|C          |           0.01|    0.02|               |    -0.6|
|KDG215           |12 55 40.5|+19 12 33|16.90| 14.47|C          |           1.87|    5.50|            419|   -11.9|
|CGCG 095-078     |10 58 02.2|+19 30 19|15.60| 13.15|C          |           1.79|    7.37|            650|   -13.9|
|LV J0913+1937    |09 13 39.0|+19 37 08|17.40| 14.88|C          |           0.70|    4.43|            445|   -11.0|
|KDG056           |09 30 12.9|+19 59 30|17.02| 14.50|C          |           1.81|    8.90|            561|   -12.9|
|UGC06881         |11 54 44.7|+20 03 20|15.90| 13.41|C          |           7.70|   16.40|            601|   -15.3|
|LSBC D564-08     |09 02 54.0|+20 04 31|17.90| 15.44|C          |           1.85|    8.67|            483|   -11.9|
|Segue 2          |02 19 16.0|+20 10 31|16.20| 11.36|C          |           0.07|    0.03|            -39|    -2.3|
|NGC4204          |12 15 14.4|+20 39 31|12.90| 10.00|           |          10.65|    8.00|            861|   -16.8|
|KKH67            |11 23 03.5|+21 19 37|18.40| 14.21|C          |           2.10|   10.00|               |   -11.7|
|UGC05086         |09 32 48.9|+21 27 54|16.36| 12.13|C          |           2.63|    8.90|            491|   -13.5|
|NGC2903          |09 32 09.6|+21 30 02| 9.53|  6.04|           |          32.45|    8.87|            556|   -20.9|
|LSBC D565-06     |09 19 29.4|+21 36 12|17.30| 14.79|C          |           1.64|    9.08|            498|   -12.7|
|NGC4826          |12 56 44.2|+21 41 05| 9.30|  5.33|           |          17.75|    4.37|            409|   -19.5|
|NGC2903-HI-1     |09 30 39.9|+21 43 25|18.20| 15.73|C          |           0.71|    8.90|            582|   -11.7|
|IC3840           |12 51 46.1|+21 44 07|16.90| 14.39|C          |           1.54|    5.50|            557|   -12.0|
|LGS 3            |01 03 55.0|+21 53 06|15.00| 12.49|C          |           0.46|    0.65|           -286|    -9.3|
|KK177            |13 02 41.9|+21 59 51|17.40| 13.15|C          |           1.03|    4.40|               |   -11.0|
|LeoII            |11 13 29.2|+22 09 17|12.61|  8.45|C          |           0.75|    0.21|             86|    -9.1|
|KKH80            |12 28 05.4|+22 17 27|16.80| 14.37|C          |           1.85|    7.43|            602|   -12.7|
|UGC7321          |12 17 34.0|+22 32 25|14.09| 10.67|           |          31.02|   17.20|            403|   -18.4|
|UGC05672         |10 28 20.9|+22 34 17|14.65| 11.55|           |           9.95|   11.40|            531|   -15.7|
|UGC07584         |12 28 02.9|+22 35 22|16.19| 13.75|C          |           2.43|    9.20|            603|   -13.7|
|NGC4455          |12 28 44.1|+22 49 21|12.93| 10.55|           |           7.67|    8.40|            644|   -16.9|
|DDO187           |14 15 56.5|+23 03 19|14.38| 12.46|           |           1.10|    2.20|            160|   -12.4|
|DDO097           |11 48 57.2|+23 50 16|15.14| 12.65|C          |           6.48|   13.74|            522|   -15.7|
|ComaI            |12 26 59.0|+23 54 15|14.98| 10.81|C          |           0.12|    0.04|             98|    -3.2|
|AGC732602        |13 21 04.8|+24 08 36|17.10| 14.71|C          |           1.26|    7.20|            925|   -12.2|
|UGC1561          |02 04 05.0|+24 12 28|14.51| 11.83|C          |           5.28|    7.20|            606|   -15.1|
|Peg dSph         |23 51 46.4|+24 35 10|14.17|  9.81|C          |           1.00|    0.82|           -345|   -10.7|
|UGC08638         |13 39 19.4|+24 46 33|14.47| 11.53|           |           2.05|    4.27|            276|   -13.7|
|NGC3344          |10 43 30.2|+24 55 25|10.45|  7.44|           |          15.51|    6.85|            588|   -18.9|
|AGC198508        |09 22 57.0|+24 56 48|17.80| 15.30|C          |           1.16|   10.40|            519|   -12.5|
|AGC238890        |13 32 30.3|+25 07 25|16.60| 14.20|C          |           1.64|    6.80|            360|   -12.6|
|NGC1156          |02 59 42.4|+25 14 15|12.32|  9.55|           |           9.21|    7.80|            373|   -18.1|
|AGC198507        |09 15 25.8|+25 25 10|18.60| 16.12|C          |           1.29|   21.70|            502|   -13.2|
|AGC229053        |12 18 15.5|+25 34 06|17.90| 15.44|C          |           2.54|   17.90|            425|   -13.5|
|LV J0300+2546    |03 00 39.3|+25 46 56|18.10| 14.50|C          |           1.05|    7.80|            308|   -12.7|
|KK167            |12 51 44.4|+26 06 38|16.39| 14.00|C          |           2.27|    9.20|           1248|   -13.5|
|UGC08030         |12 54 29.4|+26 18 18|16.60| 14.21|C          |           5.40|   15.30|            628|   -14.4|
|AGC749241        |12 40 01.7|+26 19 19|18.30| 15.90|C          |           0.91|    9.20|            451|   -11.6|
|KK13             |01 42 16.8|+26 22 04|16.57| 13.86|C          |           1.58|    7.20|            357|   -13.1|
|UGCA298          |12 46 55.4|+26 33 51|15.25| 12.43|           |           2.86|   11.00|            844|   -15.0|
|IC3308           |12 25 17.9|+26 42 53|15.41| 12.51|C          |           5.58|   12.80|            316|   -15.5|
|BootesIII        |13 57 07.4|+26 46 30|12.60|  8.41|C          |           0.77|    0.05|            198|    -5.9|
|KK15             |01 46 41.6|+26 48 05|18.22| 15.54|C          |           1.28|    7.20|            366|   -11.4|
|AGC749236        |12 25 42.4|+26 48 36|17.30| 14.86|C          |           3.48|   19.50|            273|   -14.3|
|AGC749315        |10 29 06.4|+26 54 38|19.10| 16.66|C          |           0.70|   21.50|            645|   -12.7|
|NGC4080          |12 04 51.8|+26 59 33|13.70| 10.79|           |           6.85|   15.00|            565|   -17.5|
|AGC731448        |10 23 45.0|+27 06 39|16.60| 14.14|C          |           1.90|   13.50|            540|   -14.2|
|DDO154           |12 54 05.2|+27 08 55|14.10| 12.33|           |           2.50|    4.04|            374|   -14.0|
|KK14             |01 44 42.7|+27 17 16|17.47| 14.84|C          |           1.71|    7.20|            420|   -12.1|
|AGC112521        |01 41 07.9|+27 19 26|17.80| 15.20|C          |           1.18|    6.52|            274|   -11.5|
|IC1727           |01 47 30.1|+27 19 52|12.07|  8.97|C          |          14.97|    7.20|            336|   -17.8|
|NGC0672          |01 47 53.2|+27 26 01|11.31|  8.51|           |          15.68|    7.20|            429|   -18.8|
|BTS76            |11 58 44.1|+27 35 06|16.50| 14.06|C          |           0.98|    5.57|            455|   -12.3|
|NGC3274          |10 32 17.1|+27 40 07|13.21| 10.74|           |           5.53|    7.98|            541|   -16.7|
|AGC122226        |02 46 38.9|+27 43 35|17.08| 14.25|C          |           2.32|    8.56|            472|   -13.1|
|IC3341           |12 26 23.4|+27 44 44|16.40| 13.98|C          |           2.74|   14.00|            372|   -14.4|
|NGC0855          |02 14 03.7|+27 52 38|13.30|  9.83|           |           8.91|    9.73|            591|   -17.0|
|AGC182595        |08 51 12.1|+27 52 48|17.20| 14.68|C          |           0.66|    6.10|            398|   -11.9|
|KK16             |01 55 20.6|+27 57 15|16.30| 13.68|C          |           2.15|    5.47|            207|   -12.7|
|NGC4559          |12 35 57.7|+27 57 35|10.28|  7.58|           |          25.37|    8.10|            814|   -19.8|
|AGC731457        |10 31 55.8|+28 01 33|16.80| 14.34|C          |           1.03|    9.20|            454|   -13.1|
|And XXII         |01 27 40.0|+28 05 25|18.80| 14.40|C          |           0.35|    0.79|           -127|    -6.0|
|LV J1205+2813    |12 05 34.2|+28 13 56|16.70| 14.02|C          |           1.37|    6.74|            534|   -12.5|
|KK138            |12 21 58.4|+28 14 34|18.70| 16.27|C          |           0.76|    6.30|               |   -10.4|
|MCG +05-28-046   |11 55 23.5|+28 20 24|16.35| 13.89|C          |           2.58|    7.45|            590|   -13.1|
|UGC07990         |12 50 27.2|+28 21 10|16.20| 13.51|C          |           6.88|   20.40|            512|   -15.4|
|KKH65            |10 51 59.1|+28 21 45|17.40| 13.23|C          |           1.70|   10.00|               |   -12.7|
|KUG 1202+286     |12 05 23.3|+28 21 56|15.20| 13.16|           |           1.73|    6.69|            529|   -14.0|
|UGCA294          |12 44 38.1|+28 28 21|14.82| 12.41|C          |           3.13|    9.90|            955|   -15.2|
|KK144            |12 25 27.9|+28 28 57|16.50| 14.07|C          |           1.98|    6.15|            480|   -12.5|
|KDG098           |12 18 29.4|+28 38 45|16.50| 12.31|C          |           2.02|    9.00|               |   -13.4|
|DDO068           |09 56 45.7|+28 49 30|14.77| 12.82|           |           5.56|    9.80|            503|   -15.3|
|KK17             |02 00 09.9|+28 49 57|17.20| 14.24|           |           1.46|    4.90|            168|   -11.5|
|NGC0784          |02 01 16.8|+28 50 37|12.22| 10.29|           |           9.52|    4.97|            193|   -16.5|
|IC3247           |12 23 14.0|+28 53 38|15.25| 12.12|           |          15.84|   24.40|            569|   -17.3|
|MRK0036          |11 04 58.5|+29 08 22|15.61| 14.00|           |           1.59|    8.02|            646|   -14.0|
|UGC05427         |10 04 41.0|+29 21 59|14.89| 12.20|           |           2.87|    7.11|            498|   -14.5|
|KISSB023         |09 40 12.7|+29 35 29|16.32| 13.90|C          |           4.67|   19.80|            544|   -15.2|
|And XIV          |00 51 35.0|+29 41 49|16.90| 12.56|C          |           0.61|    0.73|           -481|    -7.7|
|DDO131           |12 31 58.6|+29 42 35|15.28| 12.86|C          |           2.72|    8.10|            643|   -14.3|
|IC 779           |12 19 38.7|+29 53 00|15.22| 11.79|           |           6.47|   16.67|            213|   -16.0|
|KK127            |12 13 22.7|+29 55 18|15.60| 13.99|           |           6.80|   17.30|            131|   -15.7|
|NGC4136          |12 09 17.7|+29 55 39|11.69|  9.31|           |           9.27|    7.90|            608|   -17.9|
|LV J1213+2957    |12 13 48.4|+29 57 32|17.40| 14.98|C          |           0.37|    2.68|            225|    -9.8|
|NGC4308          |12 21 56.9|+30 04 27|14.11| 10.62|           |           3.53|   14.00|            642|   -16.7|
|NGC4150          |12 10 33.6|+30 24 06|12.49|  8.99|           |           8.77|   13.74|            226|   -18.3|
|LV J1000+3032    |10 00 36.5|+30 32 10|18.06| 15.64|C          |           0.58|    7.10|            501|   -11.3|
|MESSIER033       |01 33 50.8|+30 39 37| 6.27|  4.10|           |          17.38|    0.85|           -182|   -18.8|
|UGC12713         |23 38 14.5|+30 42 33|14.81| 11.50|           |           6.49|   12.20|            295|   -16.0|
