139.2417 -23.2797    10.30
  3.5162 -23.1822     9.20
 63.1713 -23.1589     7.40
137.4442 -23.0092     9.80
146.0838 -22.9161     6.05
  7.8438 -22.7658     9.90
140.3646 -22.5006    18.60
139.4704 -22.3553    10.30
 10.7658 -22.2503     4.92
106.7367 -22.0406     8.40
112.5346 -22.0169     7.20
120.3558 -21.9975     6.34
  3.8546 -21.4439     5.30
202.3375 -21.1792     6.50
199.7304 -21.0392     5.45
 12.4554 -21.0161     3.34
106.4375 -20.9917     7.23
 11.7846 -20.7600     3.65
 81.7738 -20.6781     5.07
140.7912 -20.1675     7.52
 12.6025 -19.9069     3.42
114.0942 -19.4944     7.35
194.9846 -19.4131     6.90
138.3004 -19.4086    21.90
179.7421 -19.0300     8.50
 54.8783 -18.6881    24.50
101.4696 -18.2103    10.00
 12.3379 -18.0744     3.40
101.7371 -17.9414    10.00
101.1137 -17.9325     9.90
292.4958 -17.6781     1.04
195.8200 -17.4231     7.30
195.5600 -17.2375     7.30
196.9858 -16.6892     7.90
  0.4921 -15.4611     0.97
 99.5004 -15.0228    10.80
296.2404 -14.8031     0.50
143.8400 -13.8144     7.30
311.7158 -12.8481     0.94
156.1179 -12.4325     5.11
190.0371 -12.3647     9.30
193.4896 -12.1086     8.00
190.3288 -11.9275     9.30
189.9792 -11.7467     9.30
190.0129 -11.6678     9.30
189.9963 -11.6231     9.30
192.2817 -11.4114     7.30
188.9142 -11.0672    10.00
  6.5458 -11.0444     0.78
194.6179 -10.5769     8.70
189.3088 -10.4975     7.70
189.6404 -10.4903     9.30
149.1567  -9.4864     5.18
149.9479  -9.3433     9.70
189.3996  -8.8672     9.10
 95.2283  -8.6503     8.50
 95.2321  -8.4956     8.50
150.4100  -8.2489     9.70
151.4233  -7.9814     9.70
 95.5575  -7.8378     8.40
196.4333  -7.7556     5.00
151.3933  -7.7492     9.70
151.3083  -7.7186     9.68
150.3900  -6.5250     9.70
148.7937  -6.2700     9.70
150.6508  -6.0119     9.70
193.3817  -5.9278    10.40
190.0538  -5.7992    10.10
192.1796  -5.2539     9.00
194.7067  -4.8886     6.50
152.7533  -4.6928     1.32
105.1221  -4.2083     1.67
 70.3675  -2.8581     9.29
166.3958  -1.8636    10.70
153.2625  -1.6144     0.09
166.5321  -1.4486    10.70
173.2375  -0.5333     0.16
188.2833  -0.5331     8.11
166.4525  -0.0358    10.70
145.1125   0.0425    10.00
166.1692   0.0583    10.70
188.1896   0.1150     9.70
166.4196   0.1208    10.70
155.4121   0.9000     6.78
187.7658   1.6758     9.60
159.8550   1.7186     7.00
 16.1992   2.1333     0.73
186.4221   2.1589    10.60
172.7900   2.2200     0.18
190.0958   3.1178     7.35
214.8117   3.1239     8.00
192.4458   3.8422     9.40
159.7421   3.8742    26.20
208.6400   4.2431     2.59
193.3100   4.4631     9.70
 81.2479   4.5050     7.14
189.3713   4.7514     7.20
160.0446   4.9089    20.90
 86.2583   5.0683     6.46
137.1525   5.2922     5.60
150.0004   5.3322     1.36
183.6467   5.6772     8.20
344.6292   5.9525     0.18
185.6604   6.0144     9.60
157.6846   6.1272     7.80
143.6871   6.4256    13.00
184.9754   6.6658     4.71
 85.4229   6.6817     5.15
190.0433   6.8469     8.10
162.2817   6.9172    22.30
189.2625   6.9267     9.80
147.0246   7.1292    14.90
 89.4029   7.4919     5.50
117.5904   7.7944     6.00
147.8217   7.8272     6.85
187.5042   7.9294     5.20
189.1458   8.0547     7.50
 97.5375   8.3769     3.55
191.5188   8.4764     9.80
158.9533   8.4797    10.40
189.4217   8.5592     8.50
187.1413   8.6397     4.60
146.1829   9.6153     9.40
183.9842   9.6492     9.40
163.4279   9.7281    10.40
114.0429   9.9864     6.10
191.5637  10.2033     7.40
151.8321  10.3622     5.60
163.2529  10.3792    10.40
159.5333  10.3808    10.40
108.4658  10.5219     7.41
163.0813  11.0433    10.40
162.4046  11.3517    10.40
158.7337  11.4922    10.40
161.0325  11.5331    10.40
160.9904  11.7036    10.05
166.1104  11.7550    10.40
161.6250  11.7558    10.40
161.6908  11.8197    10.42
161.2400  11.9161    10.40
194.1808  11.9311     6.49
164.5437  11.9992    10.40
164.0583  12.0103    10.40
160.9808  12.1353    10.40
160.6442  12.1506    10.40
152.1121  12.3081     0.25
161.6729  12.3264    10.40
160.5012  12.3350    10.40
163.9879  12.3389    10.40
191.1917  12.3514     6.80
162.6129  12.3608    10.40
157.7204  12.4467    10.43
160.2358  12.4719    10.40
161.9567  12.5817    11.12
162.0704  12.6292    11.38
159.9304  12.6344    10.40
168.6875  12.6475    11.00
159.0992  12.7075    10.40
159.9175  12.7350    10.40
161.7221  12.7444    10.40
161.7283  12.7881    10.40
247.7583  12.7917     0.15
168.6496  12.8186    10.80
209.5000  12.8333     0.04
162.8379  12.8492    10.40
170.9067  12.8958    10.30
161.7533  12.9597    10.40
161.5600  12.9600    10.40
170.6000  12.9794    10.30
170.0625  12.9914    10.28
161.7388  12.9983    10.40
169.2542  13.0997    10.30
189.1813  13.2594     7.60
162.5796  13.2719    11.07
162.7221  13.4122    10.40
162.5379  13.4836    10.40
170.8296  13.6297    10.30
160.7183  13.7411    10.40
189.9938  13.7814     8.20
165.2171  13.8808    10.40
165.0775  13.9011    12.08
159.9821  13.9078    10.40
161.1471  13.9397    10.40
161.9267  13.9856    10.91
161.6033  14.0250    10.40
161.8429  14.0703     7.73
162.8808  14.1147    10.40
164.7171  14.1294    10.40
165.1883  14.1722    10.40
194.6683  14.2175     2.13
169.8162  14.2903    10.42
182.5071  14.3669     7.70
119.2575  14.3908     7.73
183.9846  14.4331     9.10
298.0492  14.4733     7.13
210.0000  14.5000     0.07
137.2229  14.5819     9.55
163.0838  14.7072    10.40
352.1421  14.7467     0.76
186.4458  14.9519     7.90
185.3663  15.0244     9.40
163.0200  15.0306    10.40
194.1042  15.0858     6.00
159.2700  15.3375    10.40
  1.6433  15.5108     5.40
161.0087  15.5889    10.40
179.6683  15.5928     6.27
 25.9225  15.6897     7.87
 24.1721  15.7867     7.31
185.5317  15.7992     8.90
 24.9233  15.9031     7.38
 25.0400  15.9047     9.04
151.7633  16.0736     0.02
 59.2525  16.5244     5.83
115.6300  16.5611     8.02
 16.8429  16.6839     4.51
 22.1967  16.6881     7.30
115.4792  16.8006     8.05
143.7225  17.0514     0.42
156.2704  17.1636     7.90
 50.0988  17.2950     6.49
 51.0300  17.7542     6.40
196.1246  17.7589     4.40
155.4379  18.0881     2.00
 23.1762  18.3158     7.55
320.3792  19.1172     0.02
193.9187  19.2092     5.50
164.5092  19.5053     7.37
138.4125  19.6189     4.43
142.5538  19.9917     8.90
178.6863  20.0556    16.40
135.7250  20.0753     8.67
 34.8167  20.1753     0.03
183.8100  20.6586     8.00
170.7646  21.3269    10.00
143.2038  21.4650     8.90
143.0400  21.5006     8.87
139.8725  21.6033     9.08
194.1842  21.6847     4.37
142.6662  21.7236     8.90
192.9421  21.7353     5.50
 15.9792  21.8850     0.65
195.6746  21.9975     4.40
168.3717  22.1547     0.21
187.0225  22.2908     7.43
184.3917  22.5403    17.20
157.0871  22.5714    11.40
187.0121  22.5894     9.20
187.1838  22.8225     8.40
213.9854  23.0553     2.20
177.2383  23.8378    13.74
186.7458  23.9042     0.04
200.2700  24.1433     7.20
 31.0208  24.2078     7.20
357.9433  24.5861     0.82
204.8308  24.7758     4.27
160.8758  24.9236     6.85
140.7375  24.9467    10.40
203.1262  25.1236     6.80
 44.9267  25.2375     7.80
138.8575  25.4194    21.70
184.5646  25.5683    17.90
 45.1638  25.7822     7.80
192.9350  26.1106     9.20
193.6225  26.3050    15.30
190.0071  26.3219     9.20
 25.5700  26.3678     7.20
191.7308  26.5642    11.00
186.3246  26.7147    12.80
209.2808  26.7750     0.05
 26.6733  26.8014     7.20
186.4267  26.8100    19.50
157.2767  26.9106    21.50
181.2158  26.9925    15.00
155.9375  27.1108    13.50
193.5217  27.1486     4.04
 26.1779  27.2878     7.20
 25.2829  27.3239     6.52
 26.8754  27.3311     7.20
 26.9717  27.4336     7.20
179.6838  27.5850     5.57
158.0712  27.6686     7.98
 41.6621  27.7264     8.56
186.5975  27.7456    14.00
 33.5154  27.8772     9.73
132.8004  27.8800     6.10
 28.8358  27.9542     5.47
188.9904  27.9597     8.10
157.9825  28.0258     9.20
 21.9167  28.0903     0.79
181.3925  28.2322     6.74
185.4933  28.2428     6.30
178.8479  28.3400     7.45
192.6133  28.3528    20.40
162.9963  28.3625    10.00
181.3471  28.3656     6.69
191.1587  28.4725     9.90
186.3663  28.4825     6.15
184.6225  28.6458     9.00
149.1904  28.8250     9.80
 30.0413  28.8325     4.90
 30.3200  28.8436     4.97
185.8083  28.8939    24.40
166.2438  29.1394     8.02
151.1708  29.3664     7.11
145.0529  29.5914    19.80
 12.8958  29.6969     0.73
187.9942  29.7097     8.10
184.9112  29.8833    16.67
183.3446  29.9217    17.30
182.3237  29.9275     7.90
183.4517  29.9589     2.68
185.4871  30.0742    14.00
182.6400  30.4017    13.74
150.1521  30.5361     7.10
 23.4617  30.6603     0.85
354.5604  30.7092    12.20
149.8600  30.7464     0.81
359.7317  30.7556     0.73
181.3162  30.8556    12.70
182.2992  30.9067    16.80
338.1717  31.2161     0.65
180.0675  31.2250    23.20
181.6438  31.3425     7.43
147.5817  31.4567     7.10
147.5933  31.4875     7.11
178.9142  31.5194    16.60
188.2208  31.5392     4.85
159.1804  31.5467    10.90
181.9583  31.5522     7.37
192.2196  31.9703     5.40
126.2708  32.0175     8.15
188.2783  32.0917    10.10
190.9900  32.1703     5.40
146.2675  32.2383     6.56
 14.8742  32.3767     0.52
190.8525  32.4822     7.30
184.3833  32.5325     5.93
190.9358  32.5344     7.30
190.5333  32.5414     7.38
190.4988  32.5736     7.30
 27.3846  32.5925     4.94
191.7525  32.6514    23.40
162.8363  32.7664    12.02
189.6667  32.7667     3.61
 33.2325  32.8142     4.19
190.4471  32.8578     7.30
 12.6767  32.9164     0.63
180.7954  32.9561     7.55
 12.9625  33.0044     0.84
145.7492  33.2644     8.30
136.8954  33.2767    20.30
 97.6217  33.3019     7.01
